-- Logs begin at Sat 2019-11-09 08:24:11 UTC, end at Mon 2019-11-11 13:54:24 UTC. --
Nov 11 13:35:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:35:29.679884 I | mvcc: store.index: compact 37756034
Nov 11 13:35:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:35:29.690280 I | mvcc: finished scheduled compaction at 37756034 (took 6.513144ms)
Nov 11 13:36:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:36:43.563634 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-frtmx\" " with result "range_response_count:1 size:1118" took too long (133.019418ms) to execute
Nov 11 13:36:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:36:43.563977 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cmcfm\" " with result "range_response_count:1 size:1121" took too long (125.893499ms) to execute
Nov 11 13:36:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:36:43.564156 W | etcdserver: request "header:<ID:14919139277666652335 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-xpmp2\" mod_revision:37757826 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-xpmp2\" value_size:1425 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-xpmp2\" > >>" with result "size:20" took too long (123.034739ms) to execute
Nov 11 13:38:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:38:28.707092 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (136.191172ms) to execute
Nov 11 13:38:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:38:28.707363 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d61f46c08ac3c4\" " with result "range_response_count:1 size:485" took too long (134.617685ms) to execute
Nov 11 13:38:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:38:28.707424 W | etcdserver: request "header:<ID:14919139277666653362 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-xq67z\" mod_revision:37758151 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-xq67z\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-xq67z\" > >>" with result "size:20" took too long (126.50377ms) to execute
Nov 11 13:38:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:38:28.707822 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dv2ld\" " with result "range_response_count:1 size:1121" took too long (123.64346ms) to execute
Nov 11 13:38:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:38:28.737636 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-l7478\" " with result "range_response_count:1 size:1121" took too long (146.738658ms) to execute
Nov 11 13:39:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:39:28.741635 W | etcdserver: request "header:<ID:14919139277666654016 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:37758407 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (105.641008ms) to execute
Nov 11 13:39:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:39:28.744218 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d61f46c08ac3c4\" " with result "range_response_count:1 size:485" took too long (109.617478ms) to execute
Nov 11 13:39:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:39:28.761019 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-q6hxj\" " with result "range_response_count:1 size:1121" took too long (116.51588ms) to execute
Nov 11 13:39:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:39:28.761149 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xd8j8\" " with result "range_response_count:1 size:1121" took too long (112.486531ms) to execute
Nov 11 13:40:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:40:28.891882 W | etcdserver: request "header:<ID:14919139277666654651 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-xhj4k\" mod_revision:37758624 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-xhj4k\" value_size:1045 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-xhj4k\" > >>" with result "size:20" took too long (130.360552ms) to execute
Nov 11 13:40:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:40:28.892322 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9hswh\" " with result "range_response_count:1 size:1118" took too long (142.15255ms) to execute
Nov 11 13:40:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:40:28.911234 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (155.953792ms) to execute
Nov 11 13:40:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:40:29.105481 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (143.102868ms) to execute
Nov 11 13:40:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:40:29.105608 W | etcdserver: request "header:<ID:14919139277666654675 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d61f46c08ac3c4\" mod_revision:37758641 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d61f46c08ac3c4\" value_size:386 lease:5695767240811878821 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d61f46c08ac3c4\" > >>" with result "size:20" took too long (112.488497ms) to execute
Nov 11 13:40:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:40:29.703530 I | mvcc: store.index: compact 37757603
Nov 11 13:40:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 13:40:29.716826 I | mvcc: finished scheduled compaction at 37757603 (took 11.124146ms)
