-- Logs begin at Fri 2019-11-01 16:26:07 UTC, end at Mon 2019-11-04 13:13:28 UTC. --
Nov 04 12:52:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:52:36.513885 I | mvcc: store.index: compact 36088623
Nov 04 12:52:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:52:36.521116 I | mvcc: finished scheduled compaction at 36088623 (took 5.069501ms)
Nov 04 12:56:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:56:07.153437 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-g5jrs\" " with result "range_response_count:1 size:1118" took too long (142.965072ms) to execute
Nov 04 12:56:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:56:07.153813 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (127.639742ms) to execute
Nov 04 12:57:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:57:36.528734 I | mvcc: store.index: compact 36089389
Nov 04 12:57:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 12:57:36.539745 I | mvcc: finished scheduled compaction at 36089389 (took 7.339529ms)
Nov 04 13:00:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:00:34.431091 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (328.744209ms) to execute
Nov 04 13:01:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:01:18.590532 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (524.634996ms) to execute
Nov 04 13:01:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:01:18.596921 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (341.956656ms) to execute
Nov 04 13:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:01:37.589019 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mds6f\" " with result "range_response_count:1 size:1121" took too long (160.010078ms) to execute
Nov 04 13:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:01:37.589060 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (142.807035ms) to execute
Nov 04 13:01:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:01:45.168959 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (261.633462ms) to execute
Nov 04 13:01:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:01:45.169330 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (432.699331ms) to execute
Nov 04 13:01:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:01:45.169524 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (235.759941ms) to execute
Nov 04 13:01:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:01:51.597442 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (385.120829ms) to execute
Nov 04 13:02:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:02:36.547066 I | mvcc: store.index: compact 36090308
Nov 04 13:02:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:02:36.553624 I | mvcc: finished scheduled compaction at 36090308 (took 5.153995ms)
Nov 04 13:04:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:04:43.397039 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (284.565271ms) to execute
Nov 04 13:06:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:06:37.829190 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d3f733f4a1da3b\" " with result "range_response_count:1 size:485" took too long (150.6091ms) to execute
Nov 04 13:06:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:06:37.860354 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-zp5lf\" " with result "range_response_count:1 size:1118" took too long (165.328426ms) to execute
Nov 04 13:06:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:06:37.860405 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7tsc2\" " with result "range_response_count:1 size:1121" took too long (146.377936ms) to execute
Nov 04 13:06:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:06:37.860575 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-c5bq4\" " with result "range_response_count:1 size:1121" took too long (168.686528ms) to execute
Nov 04 13:06:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:06:37.860644 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jzvkx\" " with result "range_response_count:1 size:1121" took too long (167.698369ms) to execute
Nov 04 13:06:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:06:37.860772 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (157.935244ms) to execute
Nov 04 13:06:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:06:37.860967 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ptw9w\" " with result "range_response_count:1 size:1121" took too long (166.483534ms) to execute
Nov 04 13:06:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:06:38.067150 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d3f733f4a1da3b\" " with result "range_response_count:1 size:485" took too long (141.125783ms) to execute
Nov 04 13:07:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:07:36.563492 I | mvcc: store.index: compact 36091214
Nov 04 13:07:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 13:07:36.569689 I | mvcc: finished scheduled compaction at 36091214 (took 4.859974ms)
