-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 05:46:08 UTC. --
Nov 05 05:27:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:27:47.661957 I | mvcc: store.index: compact 36242563
Nov 05 05:27:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:27:47.667300 I | mvcc: finished scheduled compaction at 36242563 (took 3.845375ms)
Nov 05 05:28:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:28:23.618109 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (139.206517ms) to execute
Nov 05 05:28:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:28:23.652677 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (173.478471ms) to execute
Nov 05 05:28:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:28:23.653226 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-r77qd\" " with result "range_response_count:1 size:1121" took too long (163.201797ms) to execute
Nov 05 05:31:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:31:38.881692 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ccb6m\" " with result "range_response_count:1 size:1121" took too long (132.809684ms) to execute
Nov 05 05:31:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:31:38.881837 W | etcdserver: request "header:<ID:14919139277660653513 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:36244167 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:987 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (116.82878ms) to execute
Nov 05 05:31:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:31:38.882436 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rnccd\" " with result "range_response_count:1 size:1118" took too long (122.212758ms) to execute
Nov 05 05:32:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:32:39.031644 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (132.393583ms) to execute
Nov 05 05:32:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:32:47.679848 I | mvcc: store.index: compact 36243393
Nov 05 05:32:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:32:47.685310 I | mvcc: finished scheduled compaction at 36243393 (took 4.432178ms)
Nov 05 05:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:33:23.989051 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (108.713018ms) to execute
Nov 05 05:34:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:34:39.101675 W | etcdserver: request "header:<ID:14919139277660655392 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-j6r6q\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-j6r6q\" value_size:976 >> failure:<>>" with result "size:20" took too long (131.878697ms) to execute
Nov 05 05:34:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:34:39.102978 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7k7hd\" " with result "range_response_count:1 size:1121" took too long (136.333774ms) to execute
Nov 05 05:34:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:34:39.121751 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (146.406335ms) to execute
Nov 05 05:34:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:34:39.340581 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d42d48649d4322\" " with result "range_response_count:1 size:485" took too long (170.307948ms) to execute
