-- Logs begin at Sat 2019-11-09 08:24:11 UTC, end at Mon 2019-11-11 19:18:50 UTC. --
Nov 11 19:00:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:00:32.569037 I | mvcc: store.index: compact 37815325
Nov 11 19:00:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:00:32.574610 I | mvcc: finished scheduled compaction at 37815325 (took 4.416222ms)
Nov 11 19:00:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:00:32.812805 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (121.188261ms) to execute
Nov 11 19:01:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:01:26.264485 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-d5d2s\" " with result "range_response_count:1 size:1121" took too long (130.380378ms) to execute
Nov 11 19:01:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:01:26.264830 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (128.249381ms) to execute
Nov 11 19:01:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:01:26.265255 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (147.206934ms) to execute
Nov 11 19:03:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:03:46.511120 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (130.265852ms) to execute
Nov 11 19:03:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:03:46.698318 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (170.316176ms) to execute
Nov 11 19:05:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:05:32.580403 I | mvcc: store.index: compact 37816144
Nov 11 19:05:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:05:32.597648 I | mvcc: finished scheduled compaction at 37816144 (took 15.371897ms)
Nov 11 19:06:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:06:26.682000 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d6312c61f7fc43\" " with result "range_response_count:1 size:485" took too long (154.817607ms) to execute
Nov 11 19:06:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:06:26.682355 W | etcdserver: request "header:<ID:14919139277666873624 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-ptjrz.15d6312c63567652\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-ptjrz.15d6312c63567652\" value_size:389 lease:5695767240812097722 >> failure:<>>" with result "size:20" took too long (124.435753ms) to execute
Nov 11 19:06:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:06:26.697622 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ptjrz\" " with result "range_response_count:1 size:1118" took too long (144.702358ms) to execute
Nov 11 19:06:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 19:06:26.697786 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gldn9\" " with result "range_response_count:1 size:1121" took too long (154.364051ms) to execute
