-- Logs begin at Sun 2019-11-03 23:04:18 UTC, end at Thu 2019-11-07 00:45:10 UTC. --
Nov 07 00:23:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:23:11.716291 I | mvcc: store.index: compact 36665385
Nov 07 00:23:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:23:11.721584 I | mvcc: finished scheduled compaction at 36665385 (took 4.088209ms)
Nov 07 00:27:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:27:35.672832 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (160.825673ms) to execute
Nov 07 00:27:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:27:35.707816 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-695ch\" " with result "range_response_count:1 size:1121" took too long (182.517726ms) to execute
Nov 07 00:27:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:27:35.899563 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (130.603574ms) to execute
Nov 07 00:28:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:28:11.738224 I | mvcc: store.index: compact 36666112
Nov 07 00:28:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:28:11.743018 I | mvcc: finished scheduled compaction at 36666112 (took 3.947184ms)
Nov 07 00:28:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:28:37.837151 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (384.231262ms) to execute
Nov 07 00:28:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:28:37.837194 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (101.596739ms) to execute
Nov 07 00:28:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:28:37.837273 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (259.420003ms) to execute
Nov 07 00:31:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:31:50.996711 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-m4rkd\" " with result "range_response_count:1 size:1121" took too long (124.991085ms) to execute
Nov 07 00:32:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:32:36.048798 W | etcdserver: request "header:<ID:14919139277662321176 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-wbcmd\" mod_revision:36667937 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-wbcmd\" value_size:1045 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-wbcmd\" > >>" with result "size:20" took too long (121.100492ms) to execute
Nov 07 00:32:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:32:36.049357 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4ba11e4c89436\" " with result "range_response_count:1 size:485" took too long (143.669086ms) to execute
Nov 07 00:32:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:32:36.064696 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wtsq2\" " with result "range_response_count:1 size:1118" took too long (129.103488ms) to execute
Nov 07 00:33:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:33:11.749417 I | mvcc: store.index: compact 36667025
Nov 07 00:33:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:33:11.756595 I | mvcc: finished scheduled compaction at 36667025 (took 4.190181ms)
Nov 07 00:34:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:34:51.224877 W | etcdserver: request "header:<ID:14919139277662322659 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d4ba11e4c89436\" mod_revision:36668242 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d4ba11e4c89436\" value_size:386 lease:5695767240807546668 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d4ba11e4c89436\" > >>" with result "size:20" took too long (116.678499ms) to execute
Nov 07 00:34:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:34:51.244479 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-txl5m\" " with result "range_response_count:1 size:1118" took too long (134.130976ms) to execute
Nov 07 00:34:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:34:51.248469 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-tq67n\" " with result "range_response_count:1 size:1121" took too long (136.931796ms) to execute
Nov 07 00:34:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:34:51.443117 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4ba11e4c89436\" " with result "range_response_count:1 size:485" took too long (115.805204ms) to execute
Nov 07 00:34:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:34:51.443181 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1911" took too long (134.138121ms) to execute
Nov 07 00:34:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:34:51.443289 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (115.210109ms) to execute
Nov 07 00:34:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:34:51.443587 W | etcdserver: request "header:<ID:14919139277662322683 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-8wwkn\" mod_revision:36668486 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-8wwkn\" value_size:1422 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-8wwkn\" > >>" with result "size:20" took too long (109.563476ms) to execute
Nov 07 00:35:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:35:01.234775 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (113.194226ms) to execute
Nov 07 00:35:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:35:51.363900 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (128.00829ms) to execute
Nov 07 00:38:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:38:04.487391 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (125.585141ms) to execute
Nov 07 00:38:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:38:11.764095 I | mvcc: store.index: compact 36668100
Nov 07 00:38:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:38:11.770416 I | mvcc: finished scheduled compaction at 36668100 (took 5.396042ms)
Nov 07 00:40:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:40:29.927759 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (266.0104ms) to execute
Nov 07 00:40:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:40:29.927963 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests\" range_end:\"/registry/certificatesigningrequestt\" count_only:true " with result "range_response_count:0 size:7" took too long (215.275779ms) to execute
Nov 07 00:43:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:43:11.775279 I | mvcc: store.index: compact 36669138
Nov 07 00:43:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:43:11.782075 I | mvcc: finished scheduled compaction at 36669138 (took 5.268662ms)
Nov 07 00:43:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 00:43:12.050117 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (205.130042ms) to execute
