-- Logs begin at Sat 2019-11-02 08:56:48 UTC, end at Tue 2019-11-05 16:04:56 UTC. --
Nov 05 15:42:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 15:42:52.044213 I | mvcc: store.index: compact 36337941
Nov 05 15:42:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 15:42:52.051146 I | mvcc: finished scheduled compaction at 36337941 (took 3.934833ms)
Nov 05 15:43:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 15:43:19.690813 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (607.610843ms) to execute
Nov 05 15:43:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 15:43:19.745344 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (229.558321ms) to execute
Nov 05 15:44:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 15:44:19.930133 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (109.68589ms) to execute
Nov 05 15:44:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 15:44:30.092303 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (124.839145ms) to execute
Nov 05 15:46:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 15:46:18.856459 N | compactor: Starting auto-compaction at revision 36263768
Nov 05 15:46:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 15:46:18.857061 N | compactor: Finished auto-compaction at revision 36263768
Nov 05 15:47:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 15:47:20.453918 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (124.784784ms) to execute
Nov 05 15:47:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 15:47:20.454341 W | etcdserver: request "header:<ID:14919139277661007549 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-t5x6x\" mod_revision:36339359 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-t5x6x\" value_size:1653 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-t5x6x\" > >>" with result "size:20" took too long (116.787606ms) to execute
Nov 05 15:47:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 15:47:20.672916 W | etcdserver: request "header:<ID:14919139277661007565 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:36339345 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (106.536331ms) to execute
