-- Logs begin at Tue 2019-10-29 00:05:09 UTC, end at Fri 2019-11-01 18:51:08 UTC. --
Nov 01 18:30:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 18:30:40.090694 W | etcdserver: request "header:<ID:14919139277657533636 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:35473951 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:383 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:20" took too long (137.077661ms) to execute
Nov 01 18:30:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 18:30:40.091774 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (154.478748ms) to execute
Nov 01 18:30:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 18:30:40.105813 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (166.979967ms) to execute
Nov 01 18:30:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 18:30:40.348051 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (174.577614ms) to execute
Nov 01 18:30:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 18:30:40.378916 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (186.352681ms) to execute
Nov 01 18:30:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 18:30:40.379173 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (187.381332ms) to execute
Nov 01 18:30:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 18:30:55.117386 W | etcdserver: request "header:<ID:14919139277657533925 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:35474008 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (165.368648ms) to execute
Nov 01 18:30:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 18:30:55.125147 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1148" took too long (190.747758ms) to execute
Nov 01 18:31:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 18:31:36.298266 I | mvcc: store.index: compact 35472281
Nov 01 18:31:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 18:31:36.303624 I | mvcc: finished scheduled compaction at 35472281 (took 3.878952ms)
Nov 01 18:31:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 18:31:36.509996 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (181.435648ms) to execute
