-- Logs begin at Thu 2019-12-19 03:05:42 UTC, end at Fri 2019-12-20 16:02:35 UTC. --
Dec 20 15:41:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 15:41:11.827913 I | mvcc: store.index: compact 45319361
Dec 20 15:41:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 15:41:11.834209 I | mvcc: finished scheduled compaction at 45319361 (took 4.916297ms)
Dec 20 15:41:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 15:41:30.472327 W | etcdserver: request "header:<ID:14919139277708593827 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" mod_revision:45320230 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" value_size:2647 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" > >>" with result "size:20" took too long (122.879116ms) to execute
Dec 20 15:41:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 15:41:30.476049 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (125.555062ms) to execute
Dec 20 15:41:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 15:41:30.501810 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-gbbrv\" " with result "range_response_count:1 size:3128" took too long (119.528131ms) to execute
Dec 20 15:41:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 15:41:45.516177 W | etcdserver: request "header:<ID:14919139277708594077 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" mod_revision:45320321 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" value_size:2647 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" > >>" with result "size:20" took too long (139.794043ms) to execute
Dec 20 15:41:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 15:41:45.517171 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (142.912108ms) to execute
Dec 20 15:45:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 15:45:33.393771 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (140.780452ms) to execute
Dec 20 15:45:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 15:45:33.429769 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-jbz7v\" " with result "range_response_count:1 size:3010" took too long (158.937043ms) to execute
Dec 20 15:45:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 15:45:54.554601 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000641-0000000002fa2c2a.wal is created
Dec 20 15:46:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 15:46:11.844925 I | mvcc: store.index: compact 45320173
