-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 03:42:34 UTC. --
Nov 05 03:22:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:22:46.451760 I | mvcc: store.index: compact 36220054
Nov 05 03:22:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:22:46.457634 I | mvcc: finished scheduled compaction at 36220054 (took 4.332299ms)
Nov 05 03:24:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:24:59.108495 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5j4k6\" " with result "range_response_count:1 size:1121" took too long (142.481489ms) to execute
Nov 05 03:24:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:24:59.108918 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gxx7k\" " with result "range_response_count:1 size:1118" took too long (163.531357ms) to execute
Nov 05 03:24:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:24:59.109127 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6dkms\" " with result "range_response_count:1 size:1121" took too long (158.232408ms) to execute
Nov 05 03:27:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:27:46.465297 I | mvcc: store.index: compact 36220891
Nov 05 03:27:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:27:46.471611 I | mvcc: finished scheduled compaction at 36220891 (took 5.30313ms)
Nov 05 03:27:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:27:46.738788 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-6dkms.15d42659888029ef\" " with result "range_response_count:1 size:591" took too long (218.843301ms) to execute
Nov 05 03:29:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:29:29.451590 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4268fe17f4408\" " with result "range_response_count:1 size:485" took too long (156.324137ms) to execute
Nov 05 03:29:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:29:29.451668 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/backend\" " with result "range_response_count:1 size:1378" took too long (153.823201ms) to execute
Nov 05 03:29:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:29:29.486568 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (167.784169ms) to execute
Nov 05 03:29:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:29:29.486687 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7w9mx\" " with result "range_response_count:1 size:1121" took too long (151.941416ms) to execute
Nov 05 03:29:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:29:59.440873 W | etcdserver: request "header:<ID:14919139277660575634 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:36222451 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (141.94572ms) to execute
Nov 05 03:32:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:32:46.477370 I | mvcc: store.index: compact 36221957
Nov 05 03:32:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:32:46.486111 I | mvcc: finished scheduled compaction at 36221957 (took 7.622378ms)
Nov 05 03:34:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:34:29.827798 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nmp5k\" " with result "range_response_count:1 size:1118" took too long (157.635733ms) to execute
Nov 05 03:34:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:34:29.831722 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7f7rz\" " with result "range_response_count:1 size:1121" took too long (122.682321ms) to execute
Nov 05 03:34:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:34:29.831755 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-94gd2\" " with result "range_response_count:1 size:1121" took too long (126.314143ms) to execute
Nov 05 03:34:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:34:29.831940 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ws255\" " with result "range_response_count:1 size:1121" took too long (128.306155ms) to execute
Nov 05 03:34:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:34:29.831976 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qpjnx\" " with result "range_response_count:1 size:1121" took too long (127.73029ms) to execute
Nov 05 03:34:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:34:30.062541 W | etcdserver: request "header:<ID:14919139277660578643 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d4268fe17f4408\" mod_revision:36223535 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d4268fe17f4408\" value_size:386 lease:5695767240805802248 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d4268fe17f4408\" > >>" with result "size:20" took too long (134.031694ms) to execute
Nov 05 03:35:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:35:42.495838 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.063187833s) to execute
Nov 05 03:35:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:35:42.495936 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (695.374336ms) to execute
Nov 05 03:35:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:35:42.496177 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-bsdzk\" " with result "range_response_count:1 size:1733" took too long (1.325722527s) to execute
Nov 05 03:35:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:35:42.496357 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (934.34248ms) to execute
Nov 05 03:35:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:35:42.496514 W | etcdserver: request "header:<ID:14919139277660579350 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:36223757 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (564.803181ms) to execute
Nov 05 03:35:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:35:42.496694 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xrsrx\" " with result "range_response_count:1 size:1735" took too long (506.607614ms) to execute
Nov 05 03:35:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:35:42.496768 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (130.136326ms) to execute
Nov 05 03:35:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:35:42.497000 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (104.503823ms) to execute
Nov 05 03:36:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:36:46.050668 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000517-00000000026212b1.wal is created
Nov 05 03:37:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:37:09.167689 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000512-00000000025f82eb.wal successfully
Nov 05 03:37:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:37:46.490176 I | mvcc: store.index: compact 36223153
Nov 05 03:37:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 03:37:46.496822 I | mvcc: finished scheduled compaction at 36223153 (took 5.619899ms)
