-- Logs begin at Wed 2019-11-06 23:58:34 UTC, end at Sun 2019-11-10 03:49:54 UTC. --
Nov 10 03:29:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 03:29:25.140476 I | mvcc: store.index: compact 37415017
Nov 10 03:29:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 03:29:25.149382 I | mvcc: finished scheduled compaction at 37415017 (took 7.085747ms)
Nov 10 03:30:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 03:30:14.289297 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:4 size:6908" took too long (403.964212ms) to execute
Nov 10 03:31:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 03:31:43.478872 W | wal: sync duration of 1.218658653s, expected less than 1s
Nov 10 03:31:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 03:31:43.479105 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (621.843574ms) to execute
Nov 10 03:31:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 03:31:43.479311 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (853.120877ms) to execute
Nov 10 03:31:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 03:31:43.479359 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (524.624349ms) to execute
Nov 10 03:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 03:32:27.260305 W | etcdserver: request "header:<ID:14919139277665294967 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:37417159 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (126.353651ms) to execute
Nov 10 03:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 03:32:27.260513 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (128.124978ms) to execute
Nov 10 03:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 03:32:27.276217 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (142.672033ms) to execute
Nov 10 03:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 03:32:27.276349 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vtcd8\" " with result "range_response_count:1 size:1118" took too long (134.379227ms) to execute
Nov 10 03:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 03:32:27.276496 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nvrkl\" " with result "range_response_count:1 size:1121" took too long (134.409875ms) to execute
Nov 10 03:34:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 03:34:25.249143 I | mvcc: store.index: compact 37416603
