-- Logs begin at Tue 2019-10-29 21:05:01 UTC, end at Sat 2019-11-02 01:50:00 UTC. --
Nov 02 01:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 01:29:39.150682 W | etcdserver: request "header:<ID:14919139277657818469 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-kdjgx\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-kdjgx\" value_size:2578 >> failure:<>>" with result "size:20" took too long (138.328877ms) to execute
Nov 02 01:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 01:29:39.152058 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (156.344565ms) to execute
Nov 02 01:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 01:29:39.164989 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (166.506887ms) to execute
Nov 02 01:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 01:29:39.165218 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/rbacconfigs\" range_end:\"/registry/rbac.istio.io/rbacconfigt\" count_only:true " with result "range_response_count:0 size:7" took too long (148.790833ms) to execute
Nov 02 01:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 01:29:39.418979 W | etcdserver: request "header:<ID:14919139277657818494 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" mod_revision:35544013 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" value_size:2647 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" > >>" with result "size:20" took too long (168.369666ms) to execute
Nov 02 01:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 01:29:39.419285 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (180.43538ms) to execute
Nov 02 01:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 01:29:39.419780 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (184.18141ms) to execute
Nov 02 01:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 01:29:39.419891 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-kdjgx\" " with result "range_response_count:1 size:2738" took too long (178.260305ms) to execute
Nov 02 01:29:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 01:29:46.402545 W | etcdserver: request "header:<ID:14919139277657818664 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-mx6p5.15d3343e2cb5ca0e\" mod_revision:35543994 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-mx6p5.15d3343e2cb5ca0e\" value_size:486 lease:5695767240803042091 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f-mx6p5.15d3343e2cb5ca0e\" > >>" with result "size:20" took too long (117.854313ms) to execute
Nov 02 01:29:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 01:29:54.166624 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-4lb6n\" " with result "range_response_count:1 size:2738" took too long (165.198946ms) to execute
Nov 02 01:29:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 01:29:54.166693 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (166.238983ms) to execute
