-- Logs begin at Fri 2019-12-20 08:29:15 UTC, end at Sat 2019-12-21 16:03:26 UTC. --
Dec 21 15:41:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:41:19.459438 W | etcdserver: request "header:<ID:14919139277709554045 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-jjlxb.15e26d3189ed445c\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-jjlxb.15e26d3189ed445c\" value_size:466 lease:5695767240854777306 >> failure:<>>" with result "size:20" took too long (593.126678ms) to execute
Dec 21 15:41:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:41:19.459725 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-cgn64.15e26d2ce4f614fb\" " with result "range_response_count:1 size:520" took too long (392.966286ms) to execute
Dec 21 15:41:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:41:19.466437 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:5 size:20269" took too long (137.449596ms) to execute
Dec 21 15:41:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:41:33.845091 I | mvcc: store.index: compact 45568688
Dec 21 15:41:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:41:33.867084 I | mvcc: finished scheduled compaction at 45568688 (took 19.092137ms)
Dec 21 15:41:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:41:34.131067 W | etcdserver: request "header:<ID:14919139277709554262 > lease_revoke:<id:4f0b6e20ca74b174>" with result "size:29" took too long (185.765644ms) to execute
Dec 21 15:43:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:43:26.486654 W | etcdserver: request "header:<ID:14919139277709555510 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:45570009 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6101 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (137.715687ms) to execute
Dec 21 15:43:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:43:26.487682 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (148.056752ms) to execute
Dec 21 15:43:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:43:26.504799 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-9l2dc\" " with result "range_response_count:1 size:3128" took too long (161.326864ms) to execute
Dec 21 15:43:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:43:41.564075 W | etcdserver: request "header:<ID:14919139277709555797 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-trwtg\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-trwtg\" value_size:2578 >> failure:<>>" with result "size:20" took too long (133.139546ms) to execute
Dec 21 15:45:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:45:25.000161 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (153.101877ms) to execute
Dec 21 15:46:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:46:33.857687 I | mvcc: store.index: compact 45569740
Dec 21 15:46:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:46:33.870370 I | mvcc: finished scheduled compaction at 45569740 (took 10.233941ms)
Dec 21 15:46:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:46:34.268484 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-cp72f\" " with result "range_response_count:1 size:2440" took too long (182.760565ms) to execute
Dec 21 15:46:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:46:34.268551 W | etcdserver: request "header:<ID:14919139277709557945 > lease_revoke:<id:4f0b6e20ca74bfeb>" with result "size:29" took too long (167.889892ms) to execute
Dec 21 15:46:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:46:34.268600 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (255.021558ms) to execute
Dec 21 15:49:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:49:54.831711 W | wal: sync duration of 1.07515169s, expected less than 1s
Dec 21 15:49:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:49:54.835063 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4297" took too long (960.990772ms) to execute
Dec 21 15:49:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:49:54.835418 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4239" took too long (575.860856ms) to execute
Dec 21 15:49:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:49:54.835680 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-k7p6k\" " with result "range_response_count:1 size:4260" took too long (552.627292ms) to execute
Dec 21 15:49:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:49:54.835888 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (562.309615ms) to execute
Dec 21 15:50:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:50:07.938809 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (860.01158ms) to execute
Dec 21 15:50:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 15:50:07.938849 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (515.28203ms) to execute
