-- Logs begin at Thu 2020-01-30 03:46:10 UTC, end at Fri 2020-01-31 23:44:08 UTC. --
Jan 31 23:21:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 23:21:15.025729 W | etcdserver: request "header:<ID:14919139277750769927 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-fbzpc\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-fbzpc\" value_size:2804 >> failure:<>>" with result "size:20" took too long (125.660738ms) to execute
Jan 31 23:21:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 23:21:15.026262 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4172" took too long (132.987705ms) to execute
Jan 31 23:21:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 23:21:15.041255 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (147.950461ms) to execute
Jan 31 23:21:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 23:21:15.041287 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (147.917022ms) to execute
Jan 31 23:21:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 23:21:15.041392 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (103.99746ms) to execute
Jan 31 23:21:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 23:21:15.041425 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-csndc\" " with result "range_response_count:1 size:2946" took too long (122.266073ms) to execute
Jan 31 23:21:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 23:21:15.279483 W | etcdserver: request "header:<ID:14919139277750769946 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:53058642 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (153.608108ms) to execute
Jan 31 23:21:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 23:21:15.281061 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/kube-proxy\" " with result "range_response_count:1 size:228" took too long (168.129251ms) to execute
Jan 31 23:21:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 23:21:15.311722 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-fb5sx\" " with result "range_response_count:1 size:2946" took too long (143.803382ms) to execute
Jan 31 23:21:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 23:21:15.312067 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (154.93144ms) to execute
Jan 31 23:21:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 23:21:15.312257 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4172" took too long (155.893488ms) to execute
