-- Logs begin at Thu 2019-12-19 16:58:51 UTC, end at Sat 2019-12-21 05:13:20 UTC. --
Dec 21 04:51:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:51:24.476409 I | mvcc: store.index: compact 45462544
Dec 21 04:51:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:51:24.483984 I | mvcc: finished scheduled compaction at 45462544 (took 5.568208ms)
Dec 21 04:53:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:53:29.555543 W | etcdserver: request "header:<ID:14919139277709150691 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" mod_revision:45463972 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" value_size:2463 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" > >>" with result "size:20" took too long (115.654584ms) to execute
Dec 21 04:53:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:53:29.555776 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (115.068024ms) to execute
Dec 21 04:53:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:53:29.556021 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (115.836291ms) to execute
Dec 21 04:53:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:53:29.556360 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-x7tj4\" " with result "range_response_count:1 size:3255" took too long (102.659832ms) to execute
Dec 21 04:56:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:56:24.496512 I | mvcc: store.index: compact 45463736
Dec 21 04:56:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:56:24.506003 I | mvcc: finished scheduled compaction at 45463736 (took 6.945274ms)
Dec 21 04:56:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 04:56:25.020929 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5097" took too long (259.177825ms) to execute
Dec 21 05:01:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:01:24.508900 I | mvcc: store.index: compact 45464299
Dec 21 05:01:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:01:24.516901 I | mvcc: finished scheduled compaction at 45464299 (took 6.028321ms)
Dec 21 05:06:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:06:24.601924 I | mvcc: store.index: compact 45464830
Dec 21 05:06:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:06:24.610992 I | mvcc: finished scheduled compaction at 45464830 (took 6.525074ms)
Dec 21 05:06:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:06:25.065969 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-9hlfh\" " with result "range_response_count:1 size:2314" took too long (304.039696ms) to execute
Dec 21 05:06:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:06:25.066121 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (246.431886ms) to execute
