-- Logs begin at Tue 2019-10-29 21:05:01 UTC, end at Sat 2019-11-02 05:37:54 UTC. --
Nov 02 05:16:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 05:16:41.563360 I | mvcc: store.index: compact 35581855
Nov 02 05:16:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 05:16:41.569044 I | mvcc: finished scheduled compaction at 35581855 (took 4.290795ms)
Nov 02 05:17:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 05:17:05.962563 W | etcdserver: request "header:<ID:14919139277657974855 > lease_revoke:<id:4f0b6e20c761a7bc>" with result "size:29" took too long (428.723813ms) to execute
Nov 02 05:17:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 05:17:05.962727 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (254.618355ms) to execute
Nov 02 05:21:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 05:21:04.771818 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (124.244801ms) to execute
Nov 02 05:21:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 05:21:04.772024 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (163.163686ms) to execute
Nov 02 05:21:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 05:21:41.579277 I | mvcc: store.index: compact 35582985
Nov 02 05:21:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 05:21:41.590817 I | mvcc: finished scheduled compaction at 35582985 (took 9.355803ms)
Nov 02 05:21:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 05:21:41.996721 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (355.962282ms) to execute
Nov 02 05:25:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 05:25:16.799094 W | etcdserver: request "header:<ID:14919139277657979755 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:35583874 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4403 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (601.665221ms) to execute
Nov 02 05:25:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 05:25:16.803638 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/metrics\" range_end:\"/registry/config.istio.io/metrict\" count_only:true " with result "range_response_count:0 size:9" took too long (585.292675ms) to execute
Nov 02 05:25:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 05:25:17.735677 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (149.027376ms) to execute
Nov 02 05:25:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 05:25:17.735738 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (587.481635ms) to execute
Nov 02 05:25:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 05:25:17.735793 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (364.962196ms) to execute
Nov 02 05:25:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 05:25:17.735962 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (488.97274ms) to execute
