-- Logs begin at Thu 2020-01-30 21:39:54 UTC, end at Sat 2020-02-01 15:03:41 UTC. --
Feb 01 14:40:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:54.570810 I | etcdserver: start to snapshot (applied: 58637383, lastsnap: 58627381)
Feb 01 14:40:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:54.868168 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (303.465215ms) to execute
Feb 01 14:40:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:54.868494 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4164" took too long (305.784761ms) to execute
Feb 01 14:40:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:54.868632 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4164" took too long (298.306258ms) to execute
Feb 01 14:40:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:54.868746 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (299.086288ms) to execute
Feb 01 14:40:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:54.869003 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (307.115375ms) to execute
Feb 01 14:40:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:54.869178 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (306.481001ms) to execute
Feb 01 14:40:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:54.869594 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (175.133734ms) to execute
Feb 01 14:40:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:54.869864 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stackdrivers\" range_end:\"/registry/config.istio.io/stackdrivert\" count_only:true " with result "range_response_count:0 size:7" took too long (179.526511ms) to execute
Feb 01 14:40:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:54.870122 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (255.610256ms) to execute
Feb 01 14:40:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:54.870437 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-g77qg\" " with result "range_response_count:1 size:2946" took too long (260.343469ms) to execute
Feb 01 14:40:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:54.870831 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-65878\" " with result "range_response_count:1 size:2946" took too long (286.661831ms) to execute
Feb 01 14:40:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:55.187641 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4c2lk\" " with result "range_response_count:1 size:2943" took too long (264.60791ms) to execute
Feb 01 14:40:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:55.188018 W | etcdserver: request "header:<ID:14919139277751355469 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-dmsh9.15ef4e45911285d4\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-dmsh9.15ef4e45911285d4\" value_size:392 lease:5695767240896579422 >> failure:<>>" with result "size:20" took too long (163.819564ms) to execute
