-- Logs begin at Thu 2019-12-19 12:32:44 UTC, end at Fri 2019-12-20 21:35:10 UTC. --
Dec 20 21:13:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:13:28.520915 N | compactor: Starting auto-compaction at revision 45295585
Dec 20 21:13:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:13:28.521294 N | compactor: Finished auto-compaction at revision 45295585
Dec 20 21:14:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:14:34.085673 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6199" took too long (101.726029ms) to execute
Dec 20 21:14:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:14:34.085989 W | etcdserver: read-only range request "key:\"/registry/limitranges/istio-system/\" range_end:\"/registry/limitranges/istio-system0\" " with result "range_response_count:0 size:7" took too long (104.037954ms) to execute
Dec 20 21:14:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:14:34.340707 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-jchnx\" " with result "range_response_count:1 size:2738" took too long (173.947872ms) to execute
Dec 20 21:14:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:14:34.341112 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (189.212061ms) to execute
Dec 20 21:14:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:14:34.341492 W | etcdserver: request "header:<ID:14919139277708837106 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-9wtxd.15e230cc71c091e4\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-9wtxd.15e230cc71c091e4\" value_size:444 lease:5695767240854061264 >> failure:<>>" with result "size:20" took too long (146.390939ms) to execute
Dec 20 21:14:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:14:34.360933 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (188.529545ms) to execute
Dec 20 21:14:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:14:34.395079 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (120.231438ms) to execute
Dec 20 21:14:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:14:39.410255 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-g8skn\" " with result "range_response_count:1 size:2946" took too long (153.528098ms) to execute
Dec 20 21:14:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:14:39.641077 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (129.568647ms) to execute
Dec 20 21:14:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:14:39.641629 W | etcdserver: request "header:<ID:14919139277708837258 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-jchnx\" mod_revision:45384437 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-jchnx\" value_size:3022 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-jchnx\" > >>" with result "size:20" took too long (124.849309ms) to execute
Dec 20 21:14:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:14:49.217017 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-wc7bd\" " with result "range_response_count:1 size:2738" took too long (164.237455ms) to execute
Dec 20 21:14:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:14:49.248662 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (192.753705ms) to execute
