-- Logs begin at Tue 2019-10-29 21:05:01 UTC, end at Sat 2019-11-02 06:28:50 UTC. --
Nov 02 06:06:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:06:41.895136 I | mvcc: store.index: compact 35589173
Nov 02 06:06:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:06:41.902283 I | mvcc: finished scheduled compaction at 35589173 (took 5.164699ms)
Nov 02 06:08:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:29.922317 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (184.389865ms) to execute
Nov 02 06:08:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:29.922444 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (184.103633ms) to execute
Nov 02 06:08:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:29.926283 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (177.379921ms) to execute
Nov 02 06:08:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:29.926340 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-b2tkp\" " with result "range_response_count:1 size:2738" took too long (156.600112ms) to execute
Nov 02 06:08:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:29.926507 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (172.108109ms) to execute
Nov 02 06:08:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:30.164040 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-f5mqr\" " with result "range_response_count:1 size:2738" took too long (131.38132ms) to execute
Nov 02 06:08:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:30.164272 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (140.849714ms) to execute
Nov 02 06:08:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:30.164336 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (139.18713ms) to execute
Nov 02 06:08:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:33.757193 W | etcdserver: request "header:<ID:14919139277658009235 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d3435a06f1e452\" mod_revision:35591451 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d3435a06f1e452\" value_size:386 lease:5695767240803233312 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d3435a06f1e452\" > >>" with result "size:20" took too long (128.498449ms) to execute
Nov 02 06:08:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:33.758610 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (147.566876ms) to execute
Nov 02 06:08:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:33.772588 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (107.49924ms) to execute
Nov 02 06:08:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:33.773168 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-f5jrc\" " with result "range_response_count:1 size:2946" took too long (161.412098ms) to execute
Nov 02 06:08:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:33.773448 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-s8hnt\" " with result "range_response_count:1 size:2946" took too long (160.376857ms) to execute
Nov 02 06:08:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:33.774874 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (141.754116ms) to execute
Nov 02 06:08:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:33.995843 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (145.938512ms) to execute
Nov 02 06:08:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:33.996205 W | etcdserver: request "header:<ID:14919139277658009255 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:35591445 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (138.094033ms) to execute
Nov 02 06:08:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:08:34.010962 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-b2tkp\" " with result "range_response_count:1 size:3075" took too long (141.310856ms) to execute
