-- Logs begin at Sun 2020-03-29 12:25:01 UTC, end at Tue 2020-03-31 12:24:54 UTC. --
Mar 31 12:02:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:05.637614 W | wal: sync duration of 1.116563454s, expected less than 1s
Mar 31 12:02:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:05.640275 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/prometheus-848f5f9cc8-77r5k\" " with result "range_response_count:1 size:2102" took too long (899.920378ms) to execute
Mar 31 12:02:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:05.673731 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-gwbnz\" " with result "range_response_count:1 size:2440" took too long (891.937369ms) to execute
Mar 31 12:02:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:05.674131 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (713.977609ms) to execute
Mar 31 12:02:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:05.674214 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta2.apps\" " with result "range_response_count:1 size:619" took too long (717.853732ms) to execute
Mar 31 12:02:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:05.674348 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:683" took too long (718.76922ms) to execute
Mar 31 12:02:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:05.674412 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.monitoring.coreos.com\" " with result "range_response_count:1 size:659" took too long (717.23206ms) to execute
Mar 31 12:02:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:05.674553 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (726.66833ms) to execute
Mar 31 12:02:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:05.674593 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (115.849817ms) to execute
Mar 31 12:02:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:05.674814 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:0 size:7" took too long (863.11111ms) to execute
Mar 31 12:02:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:05.675287 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.rbac.istio.io\" " with result "range_response_count:1 size:653" took too long (718.553019ms) to execute
