-- Logs begin at Thu 2019-10-31 07:39:49 UTC, end at Sat 2019-11-02 19:41:10 UTC. --
Nov 02 19:20:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:09.843946 I | etcdserver: start to snapshot (applied: 39434876, lastsnap: 39424875)
Nov 02 19:20:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:09.966367 I | etcdserver: saved snapshot at index 39434876
Nov 02 19:20:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:09.966675 I | etcdserver: compacted raft log at 39429876
Nov 02 19:20:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:34.168362 W | etcdserver: request "header:<ID:14919139277658525094 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/horizontalpodautoscalers/istio-system/istio-policy\" mod_revision:35721284 > success:<request_put:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-policy\" value_size:1557 >> failure:<request_range:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-policy\" > >>" with result "size:20" took too long (129.060538ms) to execute
Nov 02 19:20:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:34.168468 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (138.543257ms) to execute
Nov 02 19:20:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:34.418074 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (192.360307ms) to execute
Nov 02 19:20:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:34.418248 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (176.241269ms) to execute
Nov 02 19:20:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:34.418930 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (187.035309ms) to execute
Nov 02 19:20:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:34.419257 W | etcdserver: request "header:<ID:14919139277658525112 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" mod_revision:35720799 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" value_size:807 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (145.709361ms) to execute
Nov 02 19:20:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:34.420287 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (168.068278ms) to execute
Nov 02 19:20:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:34.424592 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-mcnws\" " with result "range_response_count:1 size:2738" took too long (143.848557ms) to execute
