-- Logs begin at Thu 2019-12-19 16:58:51 UTC, end at Sat 2019-12-21 05:38:16 UTC. --
Dec 21 05:16:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:16:24.631049 I | mvcc: store.index: compact 45465896
Dec 21 05:16:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:16:24.637351 I | mvcc: finished scheduled compaction at 45465896 (took 4.715741ms)
Dec 21 05:17:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:17:47.859805 W | etcdserver: request "header:<ID:14919139277709166332 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:45467103 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (131.036673ms) to execute
Dec 21 05:18:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:18:43.161206 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (523.314867ms) to execute
Dec 21 05:18:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:18:43.161597 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (446.321345ms) to execute
Dec 21 05:19:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:19:01.234086 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (148.272377ms) to execute
Dec 21 05:19:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:19:01.234185 W | etcdserver: request "header:<ID:14919139277709167326 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-r4c4r\" mod_revision:45455132 > success:<request_put:<key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-r4c4r\" value_size:2905 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-r4c4r\" > >>" with result "size:20" took too long (124.553412ms) to execute
Dec 21 05:19:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:19:01.253512 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (156.523922ms) to execute
Dec 21 05:19:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:19:01.481099 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (169.456499ms) to execute
Dec 21 05:19:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:19:01.765905 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (192.624931ms) to execute
Dec 21 05:19:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 05:19:01.766232 W | etcdserver: request "header:<ID:14919139277709167358 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:45467416 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6115 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (184.659084ms) to execute
