-- Logs begin at Sun 2019-10-27 23:59:01 UTC, end at Fri 2019-11-01 12:58:38 UTC. --
Nov 01 12:36:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 12:36:32.748997 I | mvcc: store.index: compact 35412457
Nov 01 12:36:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 12:36:32.757192 I | mvcc: finished scheduled compaction at 35412457 (took 6.794642ms)
Nov 01 12:36:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 12:36:32.992031 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (215.965527ms) to execute
Nov 01 12:38:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 12:38:32.852655 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (192.00881ms) to execute
Nov 01 12:38:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 12:38:32.852744 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (201.054002ms) to execute
Nov 01 12:38:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 12:38:32.852770 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (203.778356ms) to execute
Nov 01 12:38:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 12:38:32.856949 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (180.71064ms) to execute
Nov 01 12:38:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 12:38:32.857266 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (177.04891ms) to execute
Nov 01 12:38:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 12:38:38.053476 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (175.086696ms) to execute
Nov 01 12:38:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 12:38:38.073326 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-m7rsl\" " with result "range_response_count:1 size:2946" took too long (157.018875ms) to execute
Nov 01 12:38:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 12:38:41.815755 W | etcdserver: request "header:<ID:14919139277657312894 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-sn57j.15d30a35ff41e5a8\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-sn57j.15d30a35ff41e5a8\" value_size:367 lease:5695767240802536832 >> failure:<>>" with result "size:20" took too long (102.75371ms) to execute
