-- Logs begin at Mon 2019-11-04 19:08:25 UTC, end at Fri 2019-11-08 01:09:31 UTC. --
Nov 08 00:48:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:48:02.963667 N | compactor: Starting auto-compaction at revision 36828838
Nov 08 00:48:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:48:02.964247 N | compactor: Finished auto-compaction at revision 36828838
Nov 08 00:48:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:48:54.877251 I | mvcc: store.index: compact 36907027
Nov 08 00:48:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:48:54.884967 I | mvcc: finished scheduled compaction at 36907027 (took 5.075396ms)
Nov 08 00:49:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:49:29.968711 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (149.87178ms) to execute
Nov 08 00:49:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:49:29.968996 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (148.766876ms) to execute
Nov 08 00:49:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:49:30.214842 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (167.541435ms) to execute
Nov 08 00:49:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:49:30.214890 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/handlers\" range_end:\"/registry/config.istio.io/handlert\" count_only:true " with result "range_response_count:0 size:9" took too long (169.328081ms) to execute
Nov 08 00:49:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:49:30.215120 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (165.492122ms) to execute
Nov 08 00:49:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:49:30.253635 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (178.496343ms) to execute
Nov 08 00:49:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 00:49:44.966765 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1150" took too long (142.45511ms) to execute
