-- Logs begin at Wed 2019-11-06 07:52:18 UTC, end at Sat 2019-11-09 00:03:52 UTC. --
Nov 08 23:44:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 23:44:09.262999 I | mvcc: store.index: compact 37140790
Nov 08 23:44:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 23:44:09.268886 I | mvcc: finished scheduled compaction at 37140790 (took 4.698586ms)
Nov 08 23:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 23:47:29.253900 W | etcdserver: request "header:<ID:14919139277664193150 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-7hzhb.15d554c4cf209e58\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-7hzhb.15d554c4cf209e58\" value_size:392 lease:5695767240809417323 >> failure:<>>" with result "size:20" took too long (131.851973ms) to execute
Nov 08 23:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 23:47:29.265774 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (134.957201ms) to execute
Nov 08 23:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 23:47:29.269831 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (138.262607ms) to execute
Nov 08 23:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 23:47:29.270067 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hlj5v\" " with result "range_response_count:1 size:2943" took too long (113.259885ms) to execute
Nov 08 23:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 23:47:29.270294 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7hzhb\" " with result "range_response_count:1 size:2946" took too long (132.380065ms) to execute
Nov 08 23:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 23:47:29.270488 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4172" took too long (137.633966ms) to execute
Nov 08 23:48:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 23:48:36.761932 N | compactor: Starting auto-compaction at revision 37067588
Nov 08 23:48:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 23:48:36.762493 N | compactor: Finished auto-compaction at revision 37067588
Nov 08 23:49:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 23:49:09.350389 I | mvcc: store.index: compact 37141612
