-- Logs begin at Sun 2019-12-15 04:02:15 UTC, end at Mon 2019-12-16 17:52:20 UTC. --
Dec 16 17:31:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:31:11.901049 I | etcdserver: start to snapshot (applied: 48916027, lastsnap: 48906026)
Dec 16 17:31:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:31:11.998275 I | etcdserver: saved snapshot at index 48916027
Dec 16 17:31:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:31:12.001126 I | etcdserver: compacted raft log at 48911027
Dec 16 17:31:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:31:12.099515 W | etcdserver: request "header:<ID:14919139277704810005 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:44362431 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:373 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (167.68473ms) to execute
Dec 16 17:31:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:31:12.099804 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4430" took too long (176.242931ms) to execute
Dec 16 17:31:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:31:40.522807 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002e9a2e6.snap successfully
Dec 16 17:34:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:34:16.432233 I | mvcc: store.index: compact 44362146
Dec 16 17:34:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:34:16.445086 I | mvcc: finished scheduled compaction at 44362146 (took 9.243631ms)
Dec 16 17:35:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:35:42.563489 W | etcdserver: request "header:<ID:14919139277704813023 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-wcvth\" mod_revision:44363079 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-wcvth\" value_size:3503 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-wcvth\" > >>" with result "size:20" took too long (120.452427ms) to execute
Dec 16 17:39:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:39:16.464079 I | mvcc: store.index: compact 44362879
Dec 16 17:39:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:39:16.470292 I | mvcc: finished scheduled compaction at 44362879 (took 5.013337ms)
