-- Logs begin at Sun 2019-12-15 14:07:49 UTC, end at Tue 2019-12-17 03:45:22 UTC. --
Dec 17 03:22:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:22:55.792570 W | etcdserver: request "header:<ID:14919139277705207642 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-4lx4v\" mod_revision:44457881 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-4lx4v\" value_size:1425 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-4lx4v\" > >>" with result "size:20" took too long (138.853032ms) to execute
Dec 17 03:22:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:22:55.805717 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (135.644961ms) to execute
Dec 17 03:24:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:24:23.083971 I | mvcc: store.index: compact 44457349
Dec 17 03:24:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:24:23.095574 I | mvcc: finished scheduled compaction at 44457349 (took 9.880144ms)
Dec 17 03:25:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:25:10.995118 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (477.374578ms) to execute
Dec 17 03:25:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:25:10.995330 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (137.556377ms) to execute
Dec 17 03:25:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:25:10.995448 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-t82j7.15e10aa53e046c36\" " with result "range_response_count:1 size:591" took too long (275.786122ms) to execute
Dec 17 03:25:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:25:10.996047 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (247.051013ms) to execute
Dec 17 03:27:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:27:41.431822 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1910" took too long (132.159576ms) to execute
Dec 17 03:27:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:27:41.433565 W | etcdserver: request "header:<ID:14919139277705210430 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-66kt6.15e10ad695122aef\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-66kt6.15e10ad695122aef\" value_size:392 lease:5695767240850434486 >> failure:<>>" with result "size:20" took too long (117.797589ms) to execute
Dec 17 03:27:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:27:41.434903 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-66kt6\" " with result "range_response_count:1 size:1121" took too long (120.664374ms) to execute
Dec 17 03:28:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:28:32.325553 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (556.019679ms) to execute
Dec 17 03:28:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:28:32.325765 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (340.498529ms) to execute
Dec 17 03:29:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:29:23.099132 I | mvcc: store.index: compact 44458079
Dec 17 03:29:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:29:23.105689 I | mvcc: finished scheduled compaction at 44458079 (took 5.017739ms)
