-- Logs begin at Wed 2019-12-18 10:00:07 UTC, end at Thu 2019-12-19 21:19:46 UTC. --
Dec 19 21:00:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:00:57.748269 I | mvcc: store.index: compact 45121130
Dec 19 21:00:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:00:57.755076 I | mvcc: finished scheduled compaction at 45121130 (took 5.20329ms)
Dec 19 21:02:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:02:02.293176 I | etcdserver: start to snapshot (applied: 49736116, lastsnap: 49726115)
Dec 19 21:02:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:02:02.431932 I | etcdserver: saved snapshot at index 49736116
Dec 19 21:02:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:02:02.433310 I | etcdserver: compacted raft log at 49731116
Dec 19 21:02:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:02:15.306644 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (111.81334ms) to execute
Dec 19 21:02:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:02:15.306952 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wvc4t\" " with result "range_response_count:1 size:1121" took too long (107.878851ms) to execute
Dec 19 21:02:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:02:15.307011 W | etcdserver: request "header:<ID:14919139277707828135 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-pm8nm\" mod_revision:45122218 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-pm8nm\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-pm8nm\" > >>" with result "size:20" took too long (107.487392ms) to execute
Dec 19 21:02:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:02:15.400294 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002f6265f.snap successfully
Dec 19 21:02:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:02:36.418301 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/statefulset-controller\" " with result "range_response_count:1 size:265" took too long (150.835249ms) to execute
Dec 19 21:03:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:03:45.496547 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1e1a0cd10ba14\" " with result "range_response_count:1 size:485" took too long (160.02584ms) to execute
Dec 19 21:03:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:03:45.496769 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (159.827574ms) to execute
Dec 19 21:03:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:03:45.498064 W | etcdserver: request "header:<ID:14919139277707828964 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-f2s52\" mod_revision:45122469 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-f2s52\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-f2s52\" > >>" with result "size:20" took too long (143.509114ms) to execute
Dec 19 21:03:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:03:45.512507 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kr6lw\" " with result "range_response_count:1 size:1121" took too long (153.517532ms) to execute
Dec 19 21:03:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:03:45.515192 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cjw2h\" " with result "range_response_count:1 size:1121" took too long (124.763416ms) to execute
Dec 19 21:05:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:05:45.714495 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-bjlkt\" " with result "range_response_count:1 size:1121" took too long (146.848615ms) to execute
Dec 19 21:05:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:05:45.714643 W | etcdserver: request "header:<ID:14919139277707830132 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e1e1a0cd10ba14\" mod_revision:45122848 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e1e1a0cd10ba14\" value_size:386 lease:5695767240853054163 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15e1e1a0cd10ba14\" > >>" with result "size:20" took too long (117.220897ms) to execute
Dec 19 21:05:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:05:45.714949 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rhkb2\" " with result "range_response_count:1 size:1121" took too long (150.945613ms) to execute
Dec 19 21:05:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:05:45.715106 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jfc4c\" " with result "range_response_count:1 size:1121" took too long (121.841709ms) to execute
Dec 19 21:05:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:05:45.715252 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (135.943542ms) to execute
Dec 19 21:05:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:05:45.715698 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7wb9d\" " with result "range_response_count:1 size:1118" took too long (137.870519ms) to execute
Dec 19 21:05:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:05:45.716493 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28591" took too long (108.877468ms) to execute
Dec 19 21:05:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:05:57.761342 I | mvcc: store.index: compact 45121983
Dec 19 21:05:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:05:57.767658 I | mvcc: finished scheduled compaction at 45121983 (took 4.878755ms)
Dec 19 21:06:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:06:45.742363 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (146.362183ms) to execute
Dec 19 21:06:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:06:45.742640 W | etcdserver: request "header:<ID:14919139277707830901 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-brcks\" mod_revision:45123138 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-brcks\" value_size:1422 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-brcks\" > >>" with result "size:20" took too long (142.215642ms) to execute
Dec 19 21:06:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:06:45.757934 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4vkbz\" " with result "range_response_count:1 size:1121" took too long (148.939924ms) to execute
Dec 19 21:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:10:57.775721 I | mvcc: store.index: compact 45122937
Dec 19 21:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:10:57.782275 I | mvcc: finished scheduled compaction at 45122937 (took 5.152118ms)
Dec 19 21:13:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:13:18.990187 N | compactor: Starting auto-compaction at revision 45046124
Dec 19 21:13:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:13:18.995782 N | compactor: Finished auto-compaction at revision 45046124
Dec 19 21:15:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:15:20.026340 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (641.765438ms) to execute
Dec 19 21:15:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:15:20.027305 W | etcdserver: request "header:<ID:14919139277707835353 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:45124343 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (232.360038ms) to execute
Dec 19 21:15:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:15:20.027842 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (187.382129ms) to execute
Dec 19 21:15:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:15:57.929217 I | mvcc: store.index: compact 45123788
Dec 19 21:15:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:15:57.931326 W | etcdserver: request "header:<ID:14919139277707835690 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:45123788 > " with result "size:7" took too long (128.169864ms) to execute
Dec 19 21:15:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:15:57.937239 I | mvcc: finished scheduled compaction at 45123788 (took 5.991634ms)
Dec 19 21:15:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:15:58.293732 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (217.450064ms) to execute
Dec 19 21:15:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 21:15:58.293878 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (154.707927ms) to execute
