-- Logs begin at Thu 2019-10-31 12:25:57 UTC, end at Sun 2019-11-03 10:15:51 UTC. --
Nov 03 09:54:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:54:19.874458 W | wal: sync duration of 2.026348841s, expected less than 1s
Nov 03 09:54:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:54:19.882861 W | etcdserver: request "header:<ID:14919139277659071141 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:35836749 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:383 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:20" took too long (2.034496091s) to execute
Nov 03 09:54:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:54:19.883228 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.835648234s) to execute
Nov 03 09:54:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:54:19.883990 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/circonuses\" range_end:\"/registry/config.istio.io/circonuset\" count_only:true " with result "range_response_count:0 size:7" took too long (1.529855742s) to execute
Nov 03 09:54:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:54:19.884545 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (703.489774ms) to execute
Nov 03 09:54:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:54:19.884791 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (957.635433ms) to execute
Nov 03 09:54:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:54:19.885587 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (1.278505097s) to execute
Nov 03 09:54:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:54:50.134986 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (104.320669ms) to execute
Nov 03 09:54:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:54:50.161657 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (120.402838ms) to execute
Nov 03 09:55:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:55:33.228741 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d39e4e24c397e7\" " with result "range_response_count:1 size:485" took too long (128.504362ms) to execute
Nov 03 09:55:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:55:33.228805 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (128.12958ms) to execute
