-- Logs begin at Sun 2019-12-15 04:02:15 UTC, end at Mon 2019-12-16 18:16:42 UTC. --
Dec 16 17:54:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:54:16.599469 I | mvcc: store.index: compact 44364992
Dec 16 17:54:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:54:16.600880 W | etcdserver: request "header:<ID:14919139277704825923 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:44364992 > " with result "size:7" took too long (104.829737ms) to execute
Dec 16 17:54:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:54:16.606901 I | mvcc: finished scheduled compaction at 44364992 (took 6.01805ms)
Dec 16 17:54:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:54:16.979013 W | etcdserver: request "header:<ID:14919139277704825931 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-prcqn.15e0eb87f8a0cc36\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-prcqn.15e0eb87f8a0cc36\" value_size:363 lease:5695767240850049814 >> failure:<>>" with result "size:20" took too long (226.714863ms) to execute
Dec 16 17:54:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:54:16.979416 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (127.188248ms) to execute
Dec 16 17:54:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:54:20.763613 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-bp99h\" " with result "range_response_count:1 size:2314" took too long (346.942046ms) to execute
Dec 16 17:54:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:54:20.764081 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-prcqn\" " with result "range_response_count:1 size:4174" took too long (321.209791ms) to execute
Dec 16 17:54:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:54:31.037804 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/memquotas\" range_end:\"/registry/config.istio.io/memquotat\" count_only:true " with result "range_response_count:0 size:7" took too long (147.608004ms) to execute
Dec 16 17:54:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:54:31.038105 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-bp99h\" " with result "range_response_count:1 size:2314" took too long (127.341052ms) to execute
Dec 16 17:55:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:55:28.205940 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (651.357969ms) to execute
Dec 16 17:55:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:55:28.205978 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (619.64874ms) to execute
Dec 16 17:55:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:55:28.206005 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (395.195365ms) to execute
Dec 16 17:55:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:55:28.206227 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (401.036207ms) to execute
Dec 16 17:55:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:55:28.206429 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (387.721245ms) to execute
Dec 16 17:56:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:56:10.483222 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-n9fkk\" " with result "range_response_count:1 size:4148" took too long (357.560431ms) to execute
Dec 16 17:56:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:56:10.484011 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/httpapispecs\" range_end:\"/registry/config.istio.io/httpapispect\" count_only:true " with result "range_response_count:0 size:7" took too long (211.149694ms) to execute
Dec 16 17:56:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:56:10.485552 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-zm6sn\" " with result "range_response_count:1 size:2440" took too long (130.095985ms) to execute
