-- Logs begin at Wed 2019-11-06 13:57:41 UTC, end at Sat 2019-11-09 15:00:59 UTC. --
Nov 09 14:39:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:39:20.166423 I | mvcc: store.index: compact 37287918
Nov 09 14:39:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:39:20.173807 I | mvcc: finished scheduled compaction at 37287918 (took 5.928176ms)
Nov 09 14:40:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:40:18.721141 W | etcdserver: request "header:<ID:14919139277664786953 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-dpmft\" mod_revision:37289747 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-dpmft\" value_size:2644 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-dpmft\" > >>" with result "size:20" took too long (175.344676ms) to execute
Nov 09 14:40:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:40:18.722008 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6199" took too long (194.636262ms) to execute
Nov 09 14:40:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:40:18.738575 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-xqndd\" " with result "range_response_count:1 size:2738" took too long (187.570181ms) to execute
Nov 09 14:40:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:40:18.738691 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (202.072296ms) to execute
Nov 09 14:40:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:40:18.738989 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (195.470968ms) to execute
Nov 09 14:40:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:40:18.964215 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (149.023683ms) to execute
Nov 09 14:40:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:40:18.964568 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (152.503653ms) to execute
Nov 09 14:40:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:40:18.964854 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-68ncc\" " with result "range_response_count:1 size:2738" took too long (164.953557ms) to execute
Nov 09 14:41:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 14:41:18.715983 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (135.127412ms) to execute
