-- Logs begin at Wed 2019-12-18 19:54:41 UTC, end at Fri 2019-12-20 08:02:34 UTC. --
Dec 20 07:41:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:41:07.456813 I | mvcc: store.index: compact 45235981
Dec 20 07:41:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:41:07.463982 I | mvcc: finished scheduled compaction at 45235981 (took 5.601588ms)
Dec 20 07:41:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:41:45.020646 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (142.373635ms) to execute
Dec 20 07:41:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:41:45.053414 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (174.439151ms) to execute
Dec 20 07:41:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:41:45.053553 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (172.713586ms) to execute
Dec 20 07:41:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:41:45.053728 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ccj4x\" " with result "range_response_count:1 size:4030" took too long (132.86835ms) to execute
Dec 20 07:41:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:41:45.053958 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-ccj4x.15e2046724c1afaa\" " with result "range_response_count:1 size:592" took too long (132.913656ms) to execute
Dec 20 07:41:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:41:45.279759 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (181.237888ms) to execute
Dec 20 07:41:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:41:45.279913 W | etcdserver: request "header:<ID:14919139277708265531 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" mod_revision:45237358 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" value_size:807 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (149.430355ms) to execute
Dec 20 07:42:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:42:45.085597 W | etcdserver: request "header:<ID:14919139277708266269 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" mod_revision:45238043 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" value_size:2647 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" > >>" with result "size:20" took too long (158.33789ms) to execute
Dec 20 07:42:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:42:45.086469 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (159.304838ms) to execute
Dec 20 07:42:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:42:45.086709 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:836" took too long (159.682214ms) to execute
Dec 20 07:42:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:42:45.086877 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-bgxp6\" " with result "range_response_count:1 size:2738" took too long (149.918032ms) to execute
Dec 20 07:43:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:43:45.077913 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (119.361037ms) to execute
Dec 20 07:43:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:43:45.078088 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6199" took too long (117.46987ms) to execute
