-- Logs begin at Tue 2019-12-17 22:38:51 UTC, end at Thu 2019-12-19 11:17:41 UTC. --
Dec 19 10:55:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:55:53.717038 I | mvcc: store.index: compact 45025550
Dec 19 10:55:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:55:53.723515 I | mvcc: finished scheduled compaction at 45025550 (took 5.589117ms)
Dec 19 10:58:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:58:47.462436 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (984.326782ms) to execute
Dec 19 10:58:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:58:47.475368 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (973.244076ms) to execute
Dec 19 10:59:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:59:58.085785 W | wal: sync duration of 1.833331168s, expected less than 1s
Dec 19 10:59:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:59:58.088578 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (1.546914278s) to execute
Dec 19 10:59:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:59:58.099549 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (191.000028ms) to execute
Dec 19 10:59:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:59:58.099650 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (382.727324ms) to execute
Dec 19 10:59:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:59:58.099757 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (168.306073ms) to execute
Dec 19 10:59:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:59:58.100006 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1406" took too long (435.433361ms) to execute
Dec 19 10:59:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:59:58.100290 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (455.464669ms) to execute
Dec 19 11:00:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:00:53.729271 I | mvcc: store.index: compact 45026319
Dec 19 11:00:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:00:53.734161 I | mvcc: finished scheduled compaction at 45026319 (took 4.024944ms)
Dec 19 11:01:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:01:10.037456 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (3.451708615s) to execute
Dec 19 11:01:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:01:10.051855 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.105444618s) to execute
Dec 19 11:01:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:01:10.052082 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (325.722205ms) to execute
Dec 19 11:01:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:01:10.052261 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (2.748766178s) to execute
Dec 19 11:01:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:01:10.052342 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (395.662589ms) to execute
Dec 19 11:01:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:01:10.052568 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.621897166s) to execute
Dec 19 11:01:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:01:10.052627 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.683256672s) to execute
Dec 19 11:01:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:01:42.918589 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sshqt\" " with result "range_response_count:1 size:1735" took too long (381.003403ms) to execute
Dec 19 11:01:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:01:42.918937 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (311.786873ms) to execute
Dec 19 11:01:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:01:42.919126 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (136.839478ms) to execute
Dec 19 11:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:02:24.496041 W | wal: sync duration of 1.121957572s, expected less than 1s
Dec 19 11:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:02:24.499235 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.extensions\" " with result "range_response_count:1 size:637" took too long (1.193414227s) to execute
Dec 19 11:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:02:24.499274 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (1.505213017s) to execute
Dec 19 11:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:02:24.499331 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.\" " with result "range_response_count:1 size:581" took too long (1.192251577s) to execute
Dec 19 11:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:02:24.499409 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.397506208s) to execute
Dec 19 11:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:02:24.499518 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "range_response_count:1 size:622" took too long (1.193386529s) to execute
Dec 19 11:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:02:24.499547 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.storage.k8s.io\" " with result "range_response_count:1 size:635" took too long (1.19127679s) to execute
Dec 19 11:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:02:24.499652 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apiextensions.k8s.io\" " with result "range_response_count:1 size:667" took too long (1.194650778s) to execute
Dec 19 11:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:02:24.500064 W | etcdserver: request "header:<ID:14919139277707443919 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:45027185 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (1.12555169s) to execute
Dec 19 11:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:02:24.500211 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.051872562s) to execute
Dec 19 11:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:02:24.500259 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (581.419383ms) to execute
Dec 19 11:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:02:24.500476 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (219.681916ms) to execute
Dec 19 11:05:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:05:53.767948 I | mvcc: store.index: compact 45027018
Dec 19 11:05:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:05:53.774304 I | mvcc: finished scheduled compaction at 45027018 (took 5.528302ms)
Dec 19 11:06:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:06:40.847358 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1910" took too long (167.687589ms) to execute
Dec 19 11:08:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:08:53.144142 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (668.209566ms) to execute
Dec 19 11:08:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:08:53.144286 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (510.86039ms) to execute
Dec 19 11:08:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 11:08:53.144769 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (151.987998ms) to execute
