-- Logs begin at Mon 2019-12-16 15:39:59 UTC, end at Wed 2019-12-18 07:35:37 UTC. --
Dec 18 07:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:13:12.609817 N | compactor: Starting auto-compaction at revision 44661190
Dec 18 07:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:13:12.610786 N | compactor: Finished auto-compaction at revision 44661190
Dec 18 07:14:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:14:37.712793 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (123.936939ms) to execute
Dec 18 07:14:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:14:37.937252 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (125.078468ms) to execute
Dec 18 07:15:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:15:06.604079 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (207.081983ms) to execute
Dec 18 07:15:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:15:06.611014 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (123.517812ms) to execute
Dec 18 07:15:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:15:06.611302 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (153.398454ms) to execute
Dec 18 07:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:15:09.081596 I | mvcc: store.index: compact 44739229
Dec 18 07:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:15:09.088241 I | mvcc: finished scheduled compaction at 44739229 (took 4.968927ms)
Dec 18 07:15:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:15:38.372775 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:834" took too long (157.219461ms) to execute
Dec 18 07:15:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:15:38.415044 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-z5tn9\" " with result "range_response_count:1 size:2738" took too long (156.065628ms) to execute
Dec 18 07:15:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:15:38.416136 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/bypasses\" range_end:\"/registry/config.istio.io/bypasset\" count_only:true " with result "range_response_count:0 size:7" took too long (143.761019ms) to execute
Dec 18 07:15:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:15:38.416484 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-sr8zk\" " with result "range_response_count:1 size:2314" took too long (195.238288ms) to execute
Dec 18 07:15:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:15:38.416648 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (198.74287ms) to execute
