-- Logs begin at Mon 2019-12-16 15:39:59 UTC, end at Wed 2019-12-18 08:24:41 UTC. --
Dec 18 08:05:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 08:05:09.516825 I | mvcc: store.index: compact 44748459
Dec 18 08:05:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 08:05:09.527558 I | mvcc: finished scheduled compaction at 44748459 (took 8.093328ms)
Dec 18 08:10:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 08:10:09.558497 I | mvcc: store.index: compact 44749185
Dec 18 08:10:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 08:10:09.565503 I | mvcc: finished scheduled compaction at 44749185 (took 5.182066ms)
Dec 18 08:12:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 08:12:34.853737 W | etcdserver: request "header:<ID:14919139277706347596 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-5xbj9.15e168f703e11618\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-5xbj9.15e168f703e11618\" value_size:392 lease:5695767240851571526 >> failure:<>>" with result "size:20" took too long (124.921537ms) to execute
Dec 18 08:12:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 08:12:34.854101 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5xbj9\" " with result "range_response_count:1 size:1121" took too long (138.21367ms) to execute
Dec 18 08:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 08:13:12.614544 N | compactor: Starting auto-compaction at revision 44670850
Dec 18 08:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 08:13:12.615011 N | compactor: Finished auto-compaction at revision 44670850
Dec 18 08:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 08:15:09.602419 I | mvcc: store.index: compact 44750062
Dec 18 08:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 08:15:09.609240 I | mvcc: finished scheduled compaction at 44750062 (took 5.790019ms)
Dec 18 08:16:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 08:16:56.048520 I | wal: segmented wal file /var/lib/etcd/member/wal/000000000000062f-0000000002f0ce52.wal is created
