-- Logs begin at Fri 2019-11-08 22:50:13 UTC, end at Mon 2019-11-11 07:14:20 UTC. --
Nov 11 06:55:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 06:55:25.264490 I | mvcc: store.index: compact 37691934
Nov 11 06:55:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 06:55:25.271228 I | mvcc: finished scheduled compaction at 37691934 (took 5.489961ms)
Nov 11 06:55:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 06:55:25.691294 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (335.51099ms) to execute
Nov 11 07:00:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:00:25.275844 I | mvcc: store.index: compact 37692723
Nov 11 07:00:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:00:25.284055 I | mvcc: finished scheduled compaction at 37692723 (took 6.674492ms)
Nov 11 07:05:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:05:25.325277 I | mvcc: store.index: compact 37693535
Nov 11 07:05:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:05:25.334183 I | mvcc: finished scheduled compaction at 37693535 (took 7.135187ms)
Nov 11 07:05:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:05:25.884449 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5676" took too long (235.458798ms) to execute
Nov 11 07:05:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:05:25.884617 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (578.71827ms) to execute
Nov 11 07:05:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:05:25.884757 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (103.301698ms) to execute
Nov 11 07:10:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:10:25.336942 I | mvcc: store.index: compact 37694329
Nov 11 07:10:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:10:25.343832 I | mvcc: finished scheduled compaction at 37694329 (took 5.348486ms)
Nov 11 07:11:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:11:08.807032 W | etcdserver: request "header:<ID:14919139277666393334 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:37695003 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:733 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (136.68398ms) to execute
Nov 11 07:11:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:11:08.807832 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2nrt2\" " with result "range_response_count:1 size:4408" took too long (133.268571ms) to execute
Nov 11 07:11:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:11:08.808770 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-llg9w\" " with result "range_response_count:1 size:4408" took too long (134.226724ms) to execute
Nov 11 07:11:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:11:08.809340 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (134.330306ms) to execute
