-- Logs begin at Wed 2019-12-18 04:30:31 UTC, end at Thu 2019-12-19 14:37:38 UTC. --
Dec 19 14:15:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:07.889150 W | wal: sync duration of 2.926925387s, expected less than 1s
Dec 19 14:15:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:07.892728 W | etcdserver: read-only range request "key:\"/registry/events/default/backend.15e1cb50372af26f\" " with result "range_response_count:1 size:541" took too long (2.927490803s) to execute
Dec 19 14:15:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:07.892837 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-m8q9q\" " with result "range_response_count:1 size:4174" took too long (2.36004675s) to execute
Dec 19 14:15:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:07.893302 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (2.686961993s) to execute
Dec 19 14:15:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:07.893438 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (2.369706471s) to execute
Dec 19 14:15:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:07.893763 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-59bnt\" " with result "range_response_count:1 size:4150" took too long (2.455082435s) to execute
Dec 19 14:15:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:07.893971 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (1.774013119s) to execute
Dec 19 14:15:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:07.894136 W | etcdserver: read-only range request "key:\"/registry/leases\" range_end:\"/registry/leaset\" count_only:true " with result "range_response_count:0 size:7" took too long (1.984786838s) to execute
Dec 19 14:15:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:07.894401 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (2.527017489s) to execute
Dec 19 14:15:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:07.894773 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (544.112265ms) to execute
Dec 19 14:15:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:07.894916 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:4620" took too long (1.077616662s) to execute
Dec 19 14:15:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:07.895433 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (2.528075974s) to execute
Dec 19 14:15:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:07.895781 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:3 size:12480" took too long (709.526914ms) to execute
Dec 19 14:15:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:08.141610 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (231.005587ms) to execute
Dec 19 14:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:09.310027 W | wal: sync duration of 1.174137308s, expected less than 1s
Dec 19 14:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:09.312730 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-qvxf8\" " with result "range_response_count:1 size:3126" took too long (1.201197044s) to execute
Dec 19 14:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:09.312810 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (1.393231782s) to execute
Dec 19 14:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:09.312917 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:10" took too long (1.312809293s) to execute
Dec 19 14:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:09.313035 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-59bnt\" " with result "range_response_count:1 size:4030" took too long (1.399186425s) to execute
Dec 19 14:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:09.313111 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:3 size:12336" took too long (1.199777596s) to execute
Dec 19 14:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:09.313215 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.284807954s) to execute
Dec 19 14:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:09.313302 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (1.393724407s) to execute
Dec 19 14:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:09.313372 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (1.373515751s) to execute
Dec 19 14:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:09.313514 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/metrics-server-68f94cc659-8pkpg\" " with result "range_response_count:1 size:3043" took too long (1.399842728s) to execute
Dec 19 14:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:09.336431 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1120" took too long (110.385499ms) to execute
Dec 19 14:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:09.336471 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ntlkf\" " with result "range_response_count:1 size:4174" took too long (201.837343ms) to execute
Dec 19 14:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:09.336491 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (1.19086715s) to execute
Dec 19 14:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:09.336658 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.04381464s) to execute
Dec 19 14:15:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 14:15:09.336776 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-m8q9q\" " with result "range_response_count:1 size:4150" took too long (1.187726333s) to execute
