-- Logs begin at Wed 2020-01-29 20:49:21 UTC, end at Fri 2020-01-31 19:33:30 UTC. --
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.309602 W | etcdserver: request "header:<ID:14919139277750599625 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-9bgx8\" mod_revision:53016297 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-9bgx8\" value_size:2870 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-9bgx8\" > >>" with result "size:20" took too long (131.679937ms) to execute
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.312315 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4168" took too long (144.540233ms) to execute
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.324409 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (151.90007ms) to execute
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.324632 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qnnnh\" " with result "range_response_count:1 size:2946" took too long (123.461791ms) to execute
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.324731 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4168" took too long (150.578946ms) to execute
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.324975 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-td9qh\" " with result "range_response_count:1 size:2946" took too long (119.620305ms) to execute
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.325012 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (151.599644ms) to execute
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.592754 W | etcdserver: request "header:<ID:14919139277750599648 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-np65k\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-np65k\" value_size:2804 >> failure:<>>" with result "size:20" took too long (183.0798ms) to execute
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.593979 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (251.223608ms) to execute
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.611183 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-r568j\" " with result "range_response_count:1 size:2946" took too long (204.237244ms) to execute
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.611259 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8w8j4\" " with result "range_response_count:1 size:2946" took too long (207.109101ms) to execute
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.611340 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (173.741235ms) to execute
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.611368 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:525" took too long (216.618051ms) to execute
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.611552 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wnnr2\" " with result "range_response_count:1 size:2943" took too long (202.286975ms) to execute
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.611632 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9bgx8\" " with result "range_response_count:1 size:2946" took too long (229.046395ms) to execute
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.611715 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (236.328103ms) to execute
Jan 31 19:10:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:10:14.611837 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4168" took too long (234.414709ms) to execute
