-- Logs begin at Sun 2019-12-15 14:07:49 UTC, end at Tue 2019-12-17 05:48:59 UTC. --
Dec 17 05:29:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:29:24.127285 I | mvcc: store.index: compact 44478199
Dec 17 05:29:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:29:24.134124 I | mvcc: finished scheduled compaction at 44478199 (took 5.485659ms)
Dec 17 05:32:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:32:39.177614 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-prometheus\" " with result "range_response_count:1 size:422" took too long (115.923696ms) to execute
Dec 17 05:33:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:33:47.779889 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (143.79531ms) to execute
Dec 17 05:33:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:33:47.780260 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (125.768454ms) to execute
Dec 17 05:33:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:33:47.780384 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hs9nm\" " with result "range_response_count:1 size:1121" took too long (133.566057ms) to execute
Dec 17 05:33:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:33:47.780630 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (142.6864ms) to execute
Dec 17 05:34:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:34:24.139653 I | mvcc: store.index: compact 44479075
Dec 17 05:34:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:34:24.146600 I | mvcc: finished scheduled compaction at 44479075 (took 5.500534ms)
Dec 17 05:34:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:34:32.957559 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (114.226917ms) to execute
Dec 17 05:34:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:34:32.957922 W | etcdserver: request "header:<ID:14919139277705288830 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-dpqg6\" mod_revision:44480027 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-dpqg6\" value_size:1422 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-dpqg6\" > >>" with result "size:20" took too long (112.848605ms) to execute
Dec 17 05:34:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:34:32.958103 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rwzxp\" " with result "range_response_count:1 size:1121" took too long (106.301294ms) to execute
Dec 17 05:35:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:35:33.422337 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pkvc8\" " with result "range_response_count:1 size:1121" took too long (155.644165ms) to execute
Dec 17 05:35:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:35:33.426511 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-46pzk\" " with result "range_response_count:1 size:1121" took too long (151.668171ms) to execute
Dec 17 05:35:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:35:33.426738 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-q9kkf\" " with result "range_response_count:1 size:1121" took too long (136.05026ms) to execute
Dec 17 05:35:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:35:33.426952 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-79tdq\" " with result "range_response_count:1 size:1118" took too long (138.179744ms) to execute
Dec 17 05:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:36:33.734634 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e111c2c69addf2\" " with result "range_response_count:1 size:485" took too long (159.105991ms) to execute
Dec 17 05:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:36:33.734773 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-prometheus\" " with result "range_response_count:1 size:422" took too long (161.886598ms) to execute
Dec 17 05:39:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:39:24.212850 I | mvcc: store.index: compact 44479984
Dec 17 05:39:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:39:24.221884 I | mvcc: finished scheduled compaction at 44479984 (took 7.542974ms)
Dec 17 05:44:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:44:24.226932 I | mvcc: store.index: compact 44481089
Dec 17 05:44:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:44:24.233749 I | mvcc: finished scheduled compaction at 44481089 (took 5.192236ms)
Dec 17 05:44:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:44:24.512180 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (237.64145ms) to execute
Dec 17 05:44:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 05:44:29.542994 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (143.091241ms) to execute
