-- Logs begin at Thu 2019-10-31 12:25:57 UTC, end at Sun 2019-11-03 12:48:54 UTC. --
Nov 03 12:27:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:27:01.497052 I | mvcc: store.index: compact 35857389
Nov 03 12:27:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:27:01.504404 I | mvcc: finished scheduled compaction at 35857389 (took 5.881357ms)
Nov 03 12:27:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:27:01.682136 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (149.280129ms) to execute
Nov 03 12:28:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:28:29.211619 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d3a6b113cc74ed\" " with result "range_response_count:1 size:485" took too long (141.42285ms) to execute
Nov 03 12:28:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:28:29.211665 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-56z8t\" " with result "range_response_count:1 size:2946" took too long (141.33999ms) to execute
Nov 03 12:28:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:28:29.211971 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (143.357343ms) to execute
Nov 03 12:28:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:28:29.212269 W | etcdserver: request "header:<ID:14919139277659176970 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-rx864\" mod_revision:35858791 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-rx864\" value_size:3503 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-rx864\" > >>" with result "size:20" took too long (138.796084ms) to execute
Nov 03 12:29:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:29:58.450336 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (408.910476ms) to execute
Nov 03 12:30:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:30:07.836931 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (266.15578ms) to execute
Nov 03 12:30:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:30:24.135428 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-pilot-service-account-token-r4lbm\" " with result "range_response_count:1 size:2433" took too long (161.926109ms) to execute
Nov 03 12:31:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:31:51.288260 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (126.645119ms) to execute
Nov 03 12:32:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:32:01.508802 I | mvcc: store.index: compact 35858615
Nov 03 12:32:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:32:01.517043 I | mvcc: finished scheduled compaction at 35858615 (took 6.542524ms)
Nov 03 12:32:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:32:02.006670 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (148.114793ms) to execute
Nov 03 12:32:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:32:02.007573 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (273.974498ms) to execute
Nov 03 12:32:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:32:02.008070 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (242.893963ms) to execute
Nov 03 12:35:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:35:30.175990 I | wal: segmented wal file /var/lib/etcd/member/wal/000000000000050b-00000000025c0990.wal is created
Nov 03 12:35:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:35:36.545314 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000506-0000000002599db5.wal successfully
Nov 03 12:37:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:37:01.522287 I | mvcc: store.index: compact 35859306
Nov 03 12:37:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:37:01.529631 I | mvcc: finished scheduled compaction at 35859306 (took 5.427674ms)
Nov 03 12:39:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:39:11.800189 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (548.074405ms) to execute
Nov 03 12:39:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:39:55.387349 W | wal: sync duration of 1.393119779s, expected less than 1s
Nov 03 12:39:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:39:55.390167 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.25599079s) to execute
Nov 03 12:39:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:39:55.415630 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (532.359329ms) to execute
Nov 03 12:39:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:39:55.415711 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/checknothings\" range_end:\"/registry/config.istio.io/checknothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (808.350788ms) to execute
Nov 03 12:39:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:39:55.415819 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (571.775704ms) to execute
Nov 03 12:40:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:40:16.651300 W | etcdserver: read-only range request "key:\"/registry/masterleases/10.0.0.8\" " with result "range_response_count:1 size:133" took too long (561.449195ms) to execute
Nov 03 12:40:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:40:16.651554 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (459.167572ms) to execute
Nov 03 12:40:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:40:30.380720 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (237.105615ms) to execute
Nov 03 12:40:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:40:30.414503 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (241.981769ms) to execute
Nov 03 12:40:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:40:43.368353 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-xx8ph\" " with result "range_response_count:1 size:2314" took too long (330.599299ms) to execute
Nov 03 12:40:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:40:51.124977 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (600.500139ms) to execute
Nov 03 12:41:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:41:11.171636 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (546.672978ms) to execute
Nov 03 12:41:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:41:11.171797 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (433.072929ms) to execute
Nov 03 12:41:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:41:30.655273 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (482.434103ms) to execute
Nov 03 12:41:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:41:51.837896 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (128.629773ms) to execute
Nov 03 12:42:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 12:42:01.620503 I | mvcc: store.index: compact 35859856
