-- Logs begin at Tue 2019-12-17 22:38:51 UTC, end at Thu 2019-12-19 10:53:27 UTC. --
Dec 19 10:31:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:31:00.908211 W | etcdserver: request "header:<ID:14919139277707425702 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-6jq58\" mod_revision:45021810 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-6jq58\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-6jq58\" > >>" with result "size:20" took too long (105.228853ms) to execute
Dec 19 10:34:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:34:52.546480 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (111.778531ms) to execute
Dec 19 10:35:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:35:53.455891 I | mvcc: store.index: compact 45021782
Dec 19 10:35:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:35:53.464484 I | mvcc: finished scheduled compaction at 45021782 (took 7.169052ms)
Dec 19 10:35:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:35:53.791862 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (129.69386ms) to execute
Dec 19 10:36:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:36:01.233761 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (137.785069ms) to execute
Dec 19 10:37:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:37:10.476991 W | etcdserver: request "header:<ID:14919139277707429111 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:45022792 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (322.956364ms) to execute
Dec 19 10:37:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:37:10.484756 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-7qxpn.15e1bf5bd608dd62\" " with result "range_response_count:1 size:561" took too long (224.378396ms) to execute
Dec 19 10:37:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:37:10.663596 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:7" took too long (165.172265ms) to execute
Dec 19 10:37:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:37:10.663993 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (169.992384ms) to execute
Dec 19 10:37:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 10:37:37.677771 W | etcdserver: request "header:<ID:14919139277707429386 > lease_revoke:<id:4f0b6e20ca54456a>" with result "size:29" took too long (113.830769ms) to execute
