-- Logs begin at Wed 2019-11-06 13:57:41 UTC, end at Sat 2019-11-09 16:15:43 UTC. --
Nov 09 15:54:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 15:54:20.736505 I | mvcc: store.index: compact 37300386
Nov 09 15:54:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 15:54:20.741780 I | mvcc: finished scheduled compaction at 37300386 (took 4.168727ms)
Nov 09 15:55:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 15:55:23.059748 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28930" took too long (144.744085ms) to execute
Nov 09 15:55:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 15:55:24.676708 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (303.909982ms) to execute
Nov 09 15:55:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 15:55:24.683323 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (287.959743ms) to execute
Nov 09 15:55:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 15:55:24.683466 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (276.737074ms) to execute
Nov 09 15:55:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 15:55:24.683719 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6199" took too long (277.992347ms) to execute
Nov 09 15:55:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 15:55:24.683857 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-tg5vx\" " with result "range_response_count:1 size:2738" took too long (270.540843ms) to execute
Nov 09 15:55:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 15:55:24.887669 W | etcdserver: request "header:<ID:14919139277664835707 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-cc96r\" mod_revision:37302320 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-cc96r\" value_size:2981 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-cc96r\" > >>" with result "size:20" took too long (108.946646ms) to execute
Nov 09 15:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 15:55:29.418021 W | etcdserver: request "header:<ID:14919139277664835844 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" mod_revision:37302381 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" value_size:807 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (180.906605ms) to execute
Nov 09 15:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 15:55:29.418244 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (180.166934ms) to execute
