-- Logs begin at Tue 2019-12-17 17:51:17 UTC, end at Thu 2019-12-19 07:55:45 UTC. --
Dec 19 07:35:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:35:49.748834 I | mvcc: store.index: compact 44990331
Dec 19 07:35:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:35:49.754237 I | mvcc: finished scheduled compaction at 44990331 (took 4.339632ms)
Dec 19 07:38:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:38:26.475828 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stackdrivers\" range_end:\"/registry/config.istio.io/stackdrivert\" count_only:true " with result "range_response_count:0 size:7" took too long (482.494716ms) to execute
Dec 19 07:38:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:38:31.338168 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4430" took too long (140.763707ms) to execute
Dec 19 07:38:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:38:31.652517 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4239" took too long (116.868071ms) to execute
Dec 19 07:38:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:38:31.652559 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (115.447791ms) to execute
Dec 19 07:38:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:38:52.116922 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (541.774219ms) to execute
Dec 19 07:38:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:38:52.117213 W | etcdserver: request "header:<ID:14919139277707313641 > lease_revoke:<id:4f0b6e20ca51d671>" with result "size:29" took too long (493.637395ms) to execute
Dec 19 07:38:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:38:52.118247 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (371.097918ms) to execute
Dec 19 07:38:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:38:52.120613 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (276.903028ms) to execute
Dec 19 07:38:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:38:52.121066 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (236.808307ms) to execute
Dec 19 07:39:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:39:02.661885 W | etcdserver: request "header:<ID:14919139277707313782 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:44991651 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4355 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (207.811984ms) to execute
Dec 19 07:39:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:39:02.662061 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (167.245204ms) to execute
Dec 19 07:39:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:39:03.963007 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (177.215655ms) to execute
Dec 19 07:39:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:39:06.808783 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (242.284701ms) to execute
Dec 19 07:39:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:39:26.594585 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28555" took too long (218.366591ms) to execute
Dec 19 07:39:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:39:33.225901 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-sidecar-injector-service-account-token-5xzdf\" " with result "range_response_count:1 size:2510" took too long (374.89247ms) to execute
Dec 19 07:39:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:39:33.226047 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4296" took too long (425.751176ms) to execute
Dec 19 07:39:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:39:33.227526 W | etcdserver: request "header:<ID:14919139277707314129 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:44991731 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (345.338984ms) to execute
Dec 19 07:40:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:40:31.678787 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4239" took too long (142.883602ms) to execute
Dec 19 07:40:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:40:46.316265 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (800.092325ms) to execute
Dec 19 07:40:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:40:46.316456 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4430" took too long (124.580596ms) to execute
Dec 19 07:40:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:40:47.430404 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (257.886211ms) to execute
Dec 19 07:40:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:40:47.430476 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (225.309267ms) to execute
Dec 19 07:40:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:40:47.430652 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-r59rh\" " with result "range_response_count:1 size:4139" took too long (619.76335ms) to execute
Dec 19 07:40:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:40:49.760026 I | mvcc: store.index: compact 44991157
Dec 19 07:40:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:40:49.768400 I | mvcc: finished scheduled compaction at 44991157 (took 6.403404ms)
Dec 19 07:40:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:40:58.502402 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (127.625512ms) to execute
Dec 19 07:40:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 07:40:58.502716 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/clusterrbacconfigs\" range_end:\"/registry/rbac.istio.io/clusterrbacconfigt\" count_only:true " with result "range_response_count:0 size:7" took too long (206.228964ms) to execute
