-- Logs begin at Thu 2020-01-30 03:46:10 UTC, end at Sat 2020-02-01 00:59:50 UTC. --
Feb 01 00:36:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:36:32.013259 W | etcdserver: request "header:<ID:14919139277750821541 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:53072966 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:1166 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (125.194682ms) to execute
Feb 01 00:36:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:36:32.252965 W | etcdserver: request "header:<ID:14919139277750821556 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:53072978 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:1597 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (137.97828ms) to execute
Feb 01 00:36:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:36:32.270236 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-w9v5b\" " with result "range_response_count:1 size:3580" took too long (139.567403ms) to execute
Feb 01 00:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:36:33.160110 W | etcdserver: request "header:<ID:14919139277750821596 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-c4m4q\" mod_revision:53072974 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-c4m4q\" value_size:3706 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-c4m4q\" > >>" with result "size:20" took too long (124.458231ms) to execute
Feb 01 00:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:36:33.160786 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:294" took too long (131.003817ms) to execute
Feb 01 00:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:36:33.177079 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wsrjq\" " with result "range_response_count:1 size:3576" took too long (129.3133ms) to execute
Feb 01 00:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:36:33.178216 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kwpn6\" " with result "range_response_count:1 size:3754" took too long (142.395093ms) to execute
Feb 01 00:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:36:33.419996 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2lqm6\" " with result "range_response_count:1 size:3754" took too long (203.524115ms) to execute
Feb 01 00:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:36:33.420044 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9ml8b\" " with result "range_response_count:1 size:3576" took too long (187.308226ms) to execute
Feb 01 00:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:36:33.420291 W | etcdserver: request "header:<ID:14919139277750821622 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/10.0.0.8\" mod_revision:53072809 > success:<request_put:<key:\"/registry/masterleases/10.0.0.8\" value_size:63 lease:5695767240896045804 >> failure:<request_range:<key:\"/registry/masterleases/10.0.0.8\" > >>" with result "size:20" took too long (158.102262ms) to execute
Feb 01 00:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:36:33.672510 W | etcdserver: request "header:<ID:14919139277750821645 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:53073043 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:2307 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (149.382904ms) to execute
Feb 01 00:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:36:33.692627 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:3990" took too long (104.521757ms) to execute
Feb 01 00:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:36:33.695422 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xdb26\" " with result "range_response_count:1 size:3783" took too long (105.783153ms) to execute
Feb 01 00:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:36:33.893145 W | etcdserver: request "header:<ID:14919139277750821663 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-979kv.15ef203225816324\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-979kv.15ef203225816324\" value_size:363 lease:5695767240896045313 >> failure:<>>" with result "size:20" took too long (115.742903ms) to execute
Feb 01 00:39:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:01.322283 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15ef20312f8a4222\" " with result "range_response_count:1 size:485" took too long (115.475678ms) to execute
Feb 01 00:39:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:01.357457 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xh29g\" " with result "range_response_count:1 size:2946" took too long (115.076641ms) to execute
Feb 01 00:39:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:01.357513 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (131.370645ms) to execute
Feb 01 00:39:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:01.357702 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-phgkm\" " with result "range_response_count:1 size:2946" took too long (123.032897ms) to execute
Feb 01 00:39:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:01.358147 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (108.97375ms) to execute
Feb 01 00:39:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:01.358572 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-psfn6\" " with result "range_response_count:1 size:2946" took too long (136.362866ms) to execute
Feb 01 00:39:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:01.548740 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (122.937351ms) to execute
Feb 01 00:39:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:01.548936 W | etcdserver: request "header:<ID:14919139277750823830 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:53073725 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (121.198721ms) to execute
Feb 01 00:39:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:01.568048 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-zdcvr\" " with result "range_response_count:1 size:2946" took too long (125.167344ms) to execute
Feb 01 00:39:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:07.260401 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (171.012492ms) to execute
Feb 01 00:39:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:07.303987 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-5rng7\" " with result "range_response_count:1 size:2738" took too long (159.41412ms) to execute
Feb 01 00:39:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:07.304229 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (187.22553ms) to execute
Feb 01 00:39:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:07.304461 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (165.597285ms) to execute
Feb 01 00:39:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:07.506572 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (164.064716ms) to execute
Feb 01 00:39:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:07.506640 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (139.582596ms) to execute
Feb 01 00:39:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:07.506776 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (162.958448ms) to execute
Feb 01 00:39:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:07.506919 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-cn25f\" " with result "range_response_count:1 size:2738" took too long (124.112928ms) to execute
Feb 01 00:39:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:07.752875 W | etcdserver: request "header:<ID:14919139277750824014 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-pilot-759bbfd844.15ef2055e9aa8062\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-pilot-759bbfd844.15ef2055e9aa8062\" value_size:376 lease:5695767240896047976 >> failure:<>>" with result "size:20" took too long (140.636868ms) to execute
Feb 01 00:39:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:07.754056 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5942" took too long (155.606447ms) to execute
Feb 01 00:39:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:07.773221 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-pilot\" " with result "range_response_count:1 size:536" took too long (172.972058ms) to execute
Feb 01 00:39:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:07.991865 W | etcdserver: request "header:<ID:14919139277750824032 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-rjdhb\" mod_revision:53073854 > success:<request_put:<key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-rjdhb\" value_size:2983 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-rjdhb\" > >>" with result "size:20" took too long (136.584036ms) to execute
Feb 01 00:39:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:11.293483 I | mvcc: store.index: compact 53071489
Feb 01 00:39:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:11.302474 I | mvcc: finished scheduled compaction at 53071489 (took 6.743204ms)
Feb 01 00:39:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:22.306933 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (186.827502ms) to execute
Feb 01 00:39:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:22.307059 W | etcdserver: request "header:<ID:14919139277750824260 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:53073963 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6101 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (149.058553ms) to execute
Feb 01 00:39:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:22.326722 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (184.304083ms) to execute
Feb 01 00:39:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:22.326894 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n2rlk\" " with result "range_response_count:1 size:2738" took too long (181.925642ms) to execute
Feb 01 00:39:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:39:22.355109 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/handlers\" range_end:\"/registry/config.istio.io/handlert\" count_only:true " with result "range_response_count:0 size:9" took too long (193.034365ms) to execute
Feb 01 00:41:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:41:02.632343 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (103.335996ms) to execute
Feb 01 00:44:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:44:11.309834 I | mvcc: store.index: compact 53073885
Feb 01 00:44:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:44:11.321428 I | mvcc: finished scheduled compaction at 53073885 (took 9.776035ms)
Feb 01 00:44:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 00:44:13.091915 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-9p9rs\" " with result "range_response_count:1 size:2314" took too long (537.369834ms) to execute
