-- Logs begin at Mon 2019-12-16 15:39:59 UTC, end at Wed 2019-12-18 05:05:51 UTC. --
Dec 18 04:43:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:43:42.753360 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002ef6f6e.snap successfully
Dec 18 04:45:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:45:08.011367 I | mvcc: store.index: compact 44712795
Dec 18 04:45:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:45:08.019210 I | mvcc: finished scheduled compaction at 44712795 (took 6.342094ms)
Dec 18 04:45:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:45:34.275901 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (194.766441ms) to execute
Dec 18 04:45:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:45:34.276468 W | etcdserver: request "header:<ID:14919139277706205152 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-rbrjp.15e15dab1ee05c15\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-rbrjp.15e15dab1ee05c15\" value_size:444 lease:5695767240851429009 >> failure:<>>" with result "size:20" took too long (157.577769ms) to execute
Dec 18 04:45:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:45:34.295587 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (196.104564ms) to execute
Dec 18 04:45:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:45:34.298679 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (166.65228ms) to execute
Dec 18 04:45:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:45:34.299385 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-2m92l\" " with result "range_response_count:1 size:2738" took too long (116.685293ms) to execute
Dec 18 04:45:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:45:34.525468 W | etcdserver: request "header:<ID:14919139277706205177 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-rbrjp\" mod_revision:44714560 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-rbrjp\" value_size:2981 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-rbrjp\" > >>" with result "size:20" took too long (145.4545ms) to execute
Dec 18 04:45:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:45:37.304037 W | etcdserver: request "header:<ID:14919139277706205226 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" mod_revision:44714600 > success:<request_put:<key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" value_size:1057 >> failure:<request_range:<key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (102.950647ms) to execute
Dec 18 04:45:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 04:45:49.204325 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (132.925158ms) to execute
