-- Logs begin at Fri 2020-01-31 20:55:11 UTC, end at Sun 2020-02-02 06:49:55 UTC. --
Feb 02 06:29:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 06:29:47.876555 I | mvcc: store.index: compact 53368813
Feb 02 06:29:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 06:29:47.883727 I | mvcc: finished scheduled compaction at 53368813 (took 5.228708ms)
Feb 02 06:29:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 06:29:56.698736 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (170.688562ms) to execute
Feb 02 06:29:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 06:29:56.698780 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (177.426684ms) to execute
Feb 02 06:29:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 06:29:56.702292 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stdios\" range_end:\"/registry/config.istio.io/stdiot\" count_only:true " with result "range_response_count:0 size:7" took too long (160.549502ms) to execute
Feb 02 06:29:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 06:29:56.702314 W | etcdserver: read-only range request "key:\"/registry/authentication.istio.io/policies\" range_end:\"/registry/authentication.istio.io/policiet\" count_only:true " with result "range_response_count:0 size:9" took too long (124.661654ms) to execute
Feb 02 06:29:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 06:29:56.702517 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-sk9ml\" " with result "range_response_count:1 size:3128" took too long (151.000698ms) to execute
Feb 02 06:29:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 06:29:56.702733 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (153.211773ms) to execute
Feb 02 06:30:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 06:30:11.700290 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (117.320901ms) to execute
Feb 02 06:30:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 06:30:11.700642 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (117.066791ms) to execute
Feb 02 06:30:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 06:30:11.930794 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (129.924507ms) to execute
Feb 02 06:30:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 06:30:11.931105 W | etcdserver: request "header:<ID:14919139277751995651 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" mod_revision:53369759 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" value_size:2647 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" > >>" with result "size:20" took too long (129.003263ms) to execute
Feb 02 06:33:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 06:33:32.336151 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (232.795082ms) to execute
