-- Logs begin at Mon 2019-12-16 09:46:59 UTC, end at Wed 2019-12-18 00:57:53 UTC. --
Dec 18 00:39:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:39:50.807591 I | mvcc: store.index: compact 44674059
Dec 18 00:39:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:39:50.815512 I | mvcc: finished scheduled compaction at 44674059 (took 5.77685ms)
Dec 18 00:40:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:40:33.252715 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1910" took too long (118.782689ms) to execute
Dec 18 00:41:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:41:33.360645 W | etcdserver: request "header:<ID:14919139277706049387 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:44675054 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (112.087076ms) to execute
Dec 18 00:41:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:41:33.361587 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (116.203621ms) to execute
Dec 18 00:41:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:41:33.372221 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-bcb55\" " with result "range_response_count:1 size:1121" took too long (122.870548ms) to execute
Dec 18 00:42:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:42:33.626186 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (151.007075ms) to execute
Dec 18 00:42:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:42:33.626655 W | etcdserver: request "header:<ID:14919139277706049962 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-frmmk\" mod_revision:44675228 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-frmmk\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-frmmk\" > >>" with result "size:20" took too long (135.524465ms) to execute
Dec 18 00:43:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:43:33.526733 W | etcdserver: request "header:<ID:14919139277706050569 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-4jz5t\" mod_revision:44675441 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-4jz5t\" value_size:1045 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-4jz5t\" > >>" with result "size:20" took too long (106.36563ms) to execute
Dec 18 00:43:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:43:33.527572 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e150684c13f9d1\" " with result "range_response_count:1 size:485" took too long (107.031132ms) to execute
Dec 18 00:43:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:43:33.533453 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6dq6r\" " with result "range_response_count:1 size:1121" took too long (109.837612ms) to execute
