-- Logs begin at Wed 2019-12-18 10:00:07 UTC, end at Thu 2019-12-19 20:30:50 UTC. --
Dec 19 20:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:10:57.409033 I | mvcc: store.index: compact 45114055
Dec 19 20:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:10:57.415762 I | mvcc: finished scheduled compaction at 45114055 (took 5.126287ms)
Dec 19 20:11:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:11:39.379961 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (127.741885ms) to execute
Dec 19 20:11:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:11:39.411852 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dnc9g\" " with result "range_response_count:1 size:1121" took too long (152.511387ms) to execute
Dec 19 20:11:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:11:39.412157 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (159.873388ms) to execute
Dec 19 20:11:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:11:39.412686 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (104.134353ms) to execute
Dec 19 20:11:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:11:39.604376 W | etcdserver: request "header:<ID:14919139277707802368 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-w7dgm\" mod_revision:45115719 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-w7dgm\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-w7dgm\" > >>" with result "size:20" took too long (121.513438ms) to execute
Dec 19 20:12:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:12:39.549138 W | etcdserver: request "header:<ID:14919139277707802903 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-k8s2v\" mod_revision:45115884 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-k8s2v\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-k8s2v\" > >>" with result "size:20" took too long (125.593035ms) to execute
Dec 19 20:12:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:12:39.549730 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1ded6f2e50b61\" " with result "range_response_count:1 size:485" took too long (142.566942ms) to execute
Dec 19 20:13:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:13:18.984797 N | compactor: Starting auto-compaction at revision 45037288
Dec 19 20:13:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:13:18.985103 N | compactor: Finished auto-compaction at revision 45037288
Dec 19 20:13:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:13:39.604344 W | etcdserver: request "header:<ID:14919139277707803451 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-jjgz5.15e1dee4f20bb1cf\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-jjgz5.15e1dee4f20bb1cf\" value_size:392 lease:5695767240853027615 >> failure:<>>" with result "size:20" took too long (132.286189ms) to execute
Dec 19 20:13:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:13:39.605316 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1ded6f2e50b61\" " with result "range_response_count:1 size:485" took too long (148.839902ms) to execute
Dec 19 20:13:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:13:39.623677 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-w9rfp\" " with result "range_response_count:1 size:1118" took too long (162.067738ms) to execute
Dec 19 20:13:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:13:39.839216 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (153.068313ms) to execute
Dec 19 20:13:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:13:39.840605 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mbhfl\" " with result "range_response_count:1 size:1121" took too long (148.912609ms) to execute
Dec 19 20:13:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:13:39.841508 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1ded6f2e50b61\" " with result "range_response_count:1 size:485" took too long (154.28394ms) to execute
Dec 19 20:15:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:15:57.420435 I | mvcc: store.index: compact 45115628
Dec 19 20:15:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:15:57.430409 I | mvcc: finished scheduled compaction at 45115628 (took 8.188155ms)
Dec 19 20:20:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:20:57.437093 I | mvcc: store.index: compact 45116424
Dec 19 20:20:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:20:57.444019 I | mvcc: finished scheduled compaction at 45116424 (took 5.662738ms)
Dec 19 20:25:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:25:57.517103 I | mvcc: store.index: compact 45116940
Dec 19 20:25:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 20:25:57.522542 I | mvcc: finished scheduled compaction at 45116940 (took 4.089564ms)
