-- Logs begin at Sun 2019-12-15 09:07:23 UTC, end at Mon 2019-12-16 21:59:56 UTC. --
Dec 16 21:39:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:39:17.962517 I | mvcc: store.index: compact 44400499
Dec 16 21:39:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:39:17.969666 I | mvcc: finished scheduled compaction at 44400499 (took 5.512836ms)
Dec 16 21:39:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:39:53.827424 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (193.007276ms) to execute
Dec 16 21:40:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:40:10.117697 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (137.026269ms) to execute
Dec 16 21:40:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:40:17.475236 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (116.647574ms) to execute
Dec 16 21:40:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:40:19.150963 W | etcdserver: read-only range request "key:\"/registry/events/default/backend.15e0f7bb5b46a97a\" " with result "range_response_count:1 size:498" took too long (285.124769ms) to execute
Dec 16 21:40:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:40:19.152039 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (259.390628ms) to execute
Dec 16 21:40:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:40:32.941256 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (621.912819ms) to execute
Dec 16 21:40:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:40:32.942019 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (200.64919ms) to execute
Dec 16 21:40:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:40:32.942386 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (150.93711ms) to execute
Dec 16 21:40:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:40:34.401543 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (125.276175ms) to execute
Dec 16 21:40:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:40:34.401899 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (113.024226ms) to execute
Dec 16 21:41:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:41:30.023320 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (116.217399ms) to execute
Dec 16 21:42:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:42:07.882056 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000624-0000000002eb0fd2.wal is created
Dec 16 21:42:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:42:07.994941 W | etcdserver: request "header:<ID:14919139277704979143 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:44402612 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (112.417834ms) to execute
Dec 16 21:42:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:42:10.797110 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/000000000000061f-0000000002e8a391.wal successfully
Dec 16 21:42:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:42:19.295901 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (111.968652ms) to execute
Dec 16 21:42:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:42:19.296179 W | etcdserver: request "header:<ID:14919139277704979264 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-wlw9b\" mod_revision:44402664 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-wlw9b\" value_size:1422 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-wlw9b\" > >>" with result "size:20" took too long (107.680087ms) to execute
Dec 16 21:42:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:42:42.237300 W | etcdserver: request "header:<ID:14919139277704979497 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:44402711 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:4548 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (502.880202ms) to execute
Dec 16 21:42:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:42:54.834725 W | etcdserver: read-only range request "key:\"/registry/pods\" range_end:\"/registry/podt\" count_only:true " with result "range_response_count:0 size:9" took too long (502.893975ms) to execute
Dec 16 21:42:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:42:54.834871 W | etcdserver: request "header:<ID:14919139277704979631 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:44402755 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (182.653387ms) to execute
Dec 16 21:43:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:43:02.806719 W | etcdserver: request "header:<ID:14919139277704979700 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:44402775 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:3914 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (266.806894ms) to execute
Dec 16 21:43:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:43:12.250883 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28154" took too long (296.681934ms) to execute
Dec 16 21:43:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:43:21.405598 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (239.763968ms) to execute
Dec 16 21:43:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:43:34.276876 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8hz5b\" " with result "range_response_count:1 size:1121" took too long (113.052453ms) to execute
Dec 16 21:43:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:43:46.678703 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (120.637776ms) to execute
Dec 16 21:44:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:44:19.322688 I | mvcc: store.index: compact 44402102
Dec 16 21:44:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:44:19.322894 W | wal: sync duration of 1.240131303s, expected less than 1s
Dec 16 21:44:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:44:19.324765 W | etcdserver: request "header:<ID:14919139277704980518 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:44402102 > " with result "size:7" took too long (1.346220025s) to execute
Dec 16 21:44:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:44:19.332602 I | mvcc: finished scheduled compaction at 44402102 (took 7.805446ms)
Dec 16 21:44:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:44:19.332880 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-jzzxx.15e0f8046979fe7a\" " with result "range_response_count:1 size:591" took too long (582.519715ms) to execute
Dec 16 21:44:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:44:19.332968 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (472.092345ms) to execute
Dec 16 21:44:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:44:19.333165 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (171.75283ms) to execute
Dec 16 21:44:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:44:43.425800 W | etcdserver: request "header:<ID:14919139277704980787 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:44403188 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (270.280678ms) to execute
Dec 16 21:44:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:44:51.658694 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (120.361884ms) to execute
Dec 16 21:45:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:45:27.104747 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-5qmlt.15e0f8104c053862\" " with result "range_response_count:1 size:591" took too long (243.699849ms) to execute
Dec 16 21:46:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:46:04.263490 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (160.435836ms) to execute
Dec 16 21:46:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:46:04.263666 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (205.115647ms) to execute
Dec 16 21:46:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:46:04.697326 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (210.001467ms) to execute
Dec 16 21:46:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:46:13.632450 W | etcdserver: read-only range request "key:\"/registry/volumeattachments\" range_end:\"/registry/volumeattachmentt\" count_only:true " with result "range_response_count:0 size:7" took too long (196.547796ms) to execute
Dec 16 21:47:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:47:30.807821 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (100.868475ms) to execute
Dec 16 21:47:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:47:36.729078 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:256" took too long (144.891176ms) to execute
Dec 16 21:48:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:48:35.149854 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e0f855571c45af\" " with result "range_response_count:1 size:485" took too long (139.349019ms) to execute
Dec 16 21:48:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:48:35.183642 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2jv6t\" " with result "range_response_count:1 size:1118" took too long (161.930281ms) to execute
Dec 16 21:48:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:48:35.183928 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gxbfb\" " with result "range_response_count:1 size:1121" took too long (168.95139ms) to execute
Dec 16 21:48:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:48:35.376769 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6ggt6\" " with result "range_response_count:1 size:1121" took too long (141.926997ms) to execute
Dec 16 21:48:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:48:35.398345 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (155.117982ms) to execute
Dec 16 21:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:48:37.872898 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rt4dj\" " with result "range_response_count:1 size:1501" took too long (151.873795ms) to execute
Dec 16 21:48:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:48:44.878551 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (194.454572ms) to execute
Dec 16 21:49:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:49:02.593385 W | etcdserver: request "header:<ID:14919139277704983563 > lease_revoke:<id:4f0b6e20ca2ef343>" with result "size:29" took too long (268.431296ms) to execute
Dec 16 21:49:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:49:02.593596 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (176.335904ms) to execute
Dec 16 21:49:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:49:19.338754 I | mvcc: store.index: compact 44403107
Dec 16 21:49:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:49:19.347292 I | mvcc: finished scheduled compaction at 44403107 (took 7.032933ms)
Dec 16 21:49:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:49:32.686525 W | etcdserver: request "header:<ID:14919139277704983887 > lease_revoke:<id:4f0b6e20ca2ef494>" with result "size:29" took too long (348.483021ms) to execute
Dec 16 21:49:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:49:32.686772 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (114.863144ms) to execute
Dec 16 21:49:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:49:45.337382 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (234.654362ms) to execute
Dec 16 21:49:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:49:47.982640 W | etcdserver: request "header:<ID:14919139277704984079 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:44404330 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4355 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (225.869116ms) to execute
Dec 16 21:50:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:50:45.620143 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-99tps\" " with result "range_response_count:1 size:1744" took too long (180.090247ms) to execute
Dec 16 21:51:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:51:04.238580 W | etcdserver: request "header:<ID:14919139277704984868 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:44404607 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:3914 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (223.835545ms) to execute
Dec 16 21:51:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:51:04.239028 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (134.361344ms) to execute
Dec 16 21:51:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:51:04.239142 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (132.358205ms) to execute
Dec 16 21:51:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:51:09.019959 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-d9zhq.15e0f85fe1bef9a0\" " with result "range_response_count:1 size:566" took too long (374.787762ms) to execute
Dec 16 21:51:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:51:24.164862 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (243.837847ms) to execute
Dec 16 21:51:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:51:35.528202 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (147.281862ms) to execute
Dec 16 21:51:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:51:35.528429 W | etcdserver: request "header:<ID:14919139277704985225 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-lkr6v\" mod_revision:44404743 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-lkr6v\" value_size:1422 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-lkr6v\" > >>" with result "size:20" took too long (134.199564ms) to execute
Dec 16 21:51:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 21:51:36.685387 W | etcdserver: request "header:<ID:14919139277704985235 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-48x4j.15e0f87b6ead0d01\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-48x4j.15e0f87b6ead0d01\" value_size:456 lease:5695767240850209394 >> failure:<>>" with result "size:20" took too long (135.298074ms) to execute
