-- Logs begin at Tue 2019-11-05 09:07:00 UTC, end at Fri 2019-11-08 05:21:21 UTC. --
Nov 08 04:59:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 04:59:28.085471 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (327.863055ms) to execute
Nov 08 04:59:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 04:59:28.085546 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (268.521519ms) to execute
Nov 08 04:59:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 04:59:34.359522 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (581.566387ms) to execute
Nov 08 04:59:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 04:59:34.466255 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (196.438595ms) to execute
Nov 08 04:59:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 04:59:35.357899 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/flannel\" " with result "range_response_count:1 size:393" took too long (886.825031ms) to execute
Nov 08 04:59:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 04:59:35.357998 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (179.526562ms) to execute
Nov 08 04:59:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 04:59:35.358199 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-bxff5\" " with result "range_response_count:1 size:2314" took too long (789.291152ms) to execute
Nov 08 04:59:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 04:59:35.358231 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-bxff5\" " with result "range_response_count:1 size:2314" took too long (223.20661ms) to execute
Nov 08 04:59:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 04:59:35.358364 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/gateways\" range_end:\"/registry/networking.istio.io/gatewayt\" count_only:true " with result "range_response_count:0 size:9" took too long (595.481993ms) to execute
Nov 08 05:01:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:01:28.532629 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (175.309688ms) to execute
Nov 08 05:01:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:01:28.532765 W | etcdserver: request "header:<ID:14919139277663451792 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-58fj6.15d5175299de9f46\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-58fj6.15d5175299de9f46\" value_size:444 lease:5695767240808675962 >> failure:<>>" with result "size:20" took too long (144.6393ms) to execute
Nov 08 05:01:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:01:28.532937 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (176.982572ms) to execute
Nov 08 05:01:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:01:28.552638 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (179.992162ms) to execute
Nov 08 05:01:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:01:28.555672 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-58fj6\" " with result "range_response_count:1 size:2738" took too long (114.668713ms) to execute
Nov 08 05:01:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:01:28.787060 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (151.431873ms) to execute
Nov 08 05:01:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:01:28.787214 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-c6pkb\" " with result "range_response_count:1 size:2738" took too long (156.602685ms) to execute
Nov 08 05:01:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:01:43.472355 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (115.122366ms) to execute
Nov 08 05:01:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:01:43.472550 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-zg2bc\" " with result "range_response_count:1 size:2738" took too long (129.926416ms) to execute
Nov 08 05:03:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:03:57.002912 I | mvcc: store.index: compact 36956306
Nov 08 05:03:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:03:57.010950 I | mvcc: finished scheduled compaction at 36956306 (took 6.693585ms)
Nov 08 05:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:03:58.699693 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (956.584187ms) to execute
Nov 08 05:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:03:58.699756 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (496.423687ms) to execute
Nov 08 05:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:03:58.699780 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (1.672425299s) to execute
Nov 08 05:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:03:58.699849 W | etcdserver: read-only range request "key:\"/registry/services/specs\" range_end:\"/registry/services/spect\" count_only:true " with result "range_response_count:0 size:9" took too long (883.724408ms) to execute
Nov 08 05:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:03:58.700012 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (997.671851ms) to execute
Nov 08 05:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:03:58.700204 W | etcdserver: request "header:<ID:14919139277663453533 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:36957106 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (446.417901ms) to execute
Nov 08 05:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:03:58.726637 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (438.154714ms) to execute
Nov 08 05:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:03:58.762122 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (301.345028ms) to execute
Nov 08 05:08:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:08:57.097291 I | mvcc: store.index: compact 36957124
Nov 08 05:08:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:08:57.104173 I | mvcc: finished scheduled compaction at 36957124 (took 5.607536ms)
Nov 08 05:10:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:10:44.350959 W | etcdserver: request "header:<ID:14919139277663457888 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-egressgateway\" mod_revision:36957997 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-egressgateway\" value_size:5825 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-egressgateway\" > >>" with result "size:20" took too long (177.597304ms) to execute
Nov 08 05:10:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:10:44.351329 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (177.576441ms) to execute
Nov 08 05:10:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:10:56.906849 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (175.066501ms) to execute
Nov 08 05:10:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:10:56.942073 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (123.940179ms) to execute
Nov 08 05:10:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:10:56.942475 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-grafana-post-install-1.1.5-8h7wm\" " with result "range_response_count:1 size:2115" took too long (206.907633ms) to execute
Nov 08 05:10:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:10:56.942740 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (210.547831ms) to execute
Nov 08 05:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:10:57.159091 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:6 size:13606" took too long (150.469857ms) to execute
Nov 08 05:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:10:57.200293 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (187.368202ms) to execute
Nov 08 05:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:10:57.200447 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1313" took too long (186.182381ms) to execute
Nov 08 05:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:10:57.391662 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-init-crd-10-rjqns\" " with result "range_response_count:1 size:1694" took too long (154.98613ms) to execute
Nov 08 05:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:10:57.391970 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (154.892972ms) to execute
Nov 08 05:10:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:10:58.192007 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/daemon-set-controller\" " with result "range_response_count:1 size:262" took too long (158.786625ms) to execute
Nov 08 05:12:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:12:02.204115 I | etcdserver: start to snapshot (applied: 40775023, lastsnap: 40765022)
Nov 08 05:12:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:12:02.264160 I | etcdserver: saved snapshot at index 40775023
Nov 08 05:12:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:12:02.264457 I | etcdserver: compacted raft log at 40770023
Nov 08 05:12:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:12:12.393900 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-00000000026d6a19.snap successfully
Nov 08 05:13:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:13:40.905547 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (892.672123ms) to execute
Nov 08 05:13:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:13:40.905846 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (339.026531ms) to execute
Nov 08 05:13:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:13:40.905868 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (830.320894ms) to execute
Nov 08 05:13:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:13:40.906054 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (680.130143ms) to execute
Nov 08 05:13:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:13:57.109361 I | mvcc: store.index: compact 36957761
Nov 08 05:13:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:13:57.115185 I | mvcc: finished scheduled compaction at 36957761 (took 4.649386ms)
Nov 08 05:15:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:21.988818 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-gxwb5\" " with result "range_response_count:1 size:1758" took too long (141.636684ms) to execute
Nov 08 05:15:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:21.989198 W | etcdserver: request "header:<ID:14919139277663460601 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-citadel-57cff9f899.15d51814a8a3f968\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-citadel-57cff9f899.15d51814a8a3f968\" value_size:382 lease:5695767240808684788 >> failure:<>>" with result "size:20" took too long (130.493959ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.008269 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-gxwb5\" " with result "range_response_count:1 size:1758" took too long (151.160004ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.008313 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (152.405653ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.035513 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (122.572914ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.230319 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-citadel-57cff9f899\" " with result "range_response_count:1 size:1639" took too long (157.707358ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.231274 W | etcdserver: request "header:<ID:14919139277663460618 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-mhvcv\" mod_revision:36958030 > success:<request_put:<key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-mhvcv\" value_size:3019 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-mhvcv\" > >>" with result "size:20" took too long (139.969917ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.245615 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-citadel-57cff9f899-gxwb5.15d51814a8bdb183\" " with result "range_response_count:1 size:565" took too long (165.295323ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.245981 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (173.369758ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.246221 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-gxwb5\" " with result "range_response_count:1 size:1758" took too long (166.766109ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.489787 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/grafana-6585df8c56-4v782.15d51814b2b7f721\" " with result "range_response_count:1 size:547" took too long (208.1447ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.490140 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (209.40906ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.490300 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-wb4sc\" " with result "range_response_count:1 size:2734" took too long (204.852713ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.491574 W | etcdserver: request "header:<ID:14919139277663460637 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" mod_revision:36958656 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" value_size:2530 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" > >>" with result "size:20" took too long (152.900022ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.505374 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/grafana-6585df8c56-4v782\" " with result "range_response_count:1 size:3496" took too long (187.61992ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.757077 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:294" took too long (193.397059ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.757145 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:784" took too long (190.900201ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.757443 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-gxwb5\" " with result "range_response_count:1 size:1758" took too long (190.111967ms) to execute
Nov 08 05:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:22.793060 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (125.529629ms) to execute
