-- Logs begin at Fri 2019-12-20 13:04:45 UTC, end at Sat 2019-12-21 21:00:28 UTC. --
Dec 21 20:37:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 20:37:49.857578 W | etcdserver: request "header:<ID:14919139277709758707 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:45625110 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:3030 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (118.299547ms) to execute
Dec 21 20:37:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 20:37:50.068498 W | etcdserver: request "header:<ID:14919139277709758714 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:45625115 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (107.398146ms) to execute
Dec 21 20:37:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 20:37:50.654642 W | etcdserver: request "header:<ID:14919139277709758735 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:45625128 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (121.042339ms) to execute
Dec 21 20:38:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 20:38:26.510283 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-gw9rn\" " with result "range_response_count:1 size:3255" took too long (124.381641ms) to execute
Dec 21 20:38:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 20:38:26.711254 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (147.83672ms) to execute
Dec 21 20:40:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 20:40:27.898290 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (136.653922ms) to execute
Dec 21 20:40:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 20:40:27.898506 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (139.330508ms) to execute
Dec 21 20:40:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 20:40:27.898568 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (162.073081ms) to execute
Dec 21 20:40:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 20:40:28.118199 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (116.415897ms) to execute
Dec 21 20:41:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 20:41:37.747322 I | mvcc: store.index: compact 45624480
Dec 21 20:41:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 20:41:37.769373 I | mvcc: finished scheduled compaction at 45624480 (took 20.370065ms)
Dec 21 20:41:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 20:41:38.217322 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (279.790186ms) to execute
Dec 21 20:46:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 20:46:37.759351 I | mvcc: store.index: compact 45625628
