-- Logs begin at Fri 2019-11-08 22:50:13 UTC, end at Mon 2019-11-11 02:07:44 UTC. --
Nov 11 01:47:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:47:18.484503 W | etcdserver: request "header:<ID:14919139277666169412 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:37640495 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6115 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (157.056743ms) to execute
Nov 11 01:47:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:47:18.485887 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (158.830894ms) to execute
Nov 11 01:47:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:47:18.515602 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (187.419134ms) to execute
Nov 11 01:47:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:47:18.732378 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/pod-garbage-collector\" " with result "range_response_count:1 size:262" took too long (158.812067ms) to execute
Nov 11 01:47:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:47:18.732969 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (155.204622ms) to execute
Nov 11 01:47:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:47:18.733103 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (155.713476ms) to execute
Nov 11 01:47:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:47:18.733433 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-vg9hp\" " with result "range_response_count:1 size:2738" took too long (159.40759ms) to execute
Nov 11 01:47:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:47:33.440256 W | etcdserver: request "header:<ID:14919139277666169668 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway.15d5f87b4fa7f9c6\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway.15d5f87b4fa7f9c6\" value_size:390 lease:5695767240811393297 >> failure:<>>" with result "size:20" took too long (100.083257ms) to execute
Nov 11 01:47:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:47:33.683121 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (172.344376ms) to execute
Nov 11 01:47:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:47:33.683466 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (161.088256ms) to execute
Nov 11 01:47:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:47:33.686319 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (154.575356ms) to execute
Nov 11 01:47:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:47:33.686698 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (107.856704ms) to execute
Nov 11 01:47:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:47:33.687125 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-5b5gc.15d5f8576166068e\" " with result "range_response_count:1 size:468" took too long (139.977969ms) to execute
Nov 11 01:49:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:49:30.667833 N | compactor: Starting auto-compaction at revision 37562965
Nov 11 01:49:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:49:30.668287 N | compactor: Finished auto-compaction at revision 37562965
Nov 11 01:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:50:22.595655 I | mvcc: store.index: compact 37640226
Nov 11 01:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:50:22.606845 I | mvcc: finished scheduled compaction at 37640226 (took 9.041117ms)
Nov 11 01:50:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:50:23.902949 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (1.175975631s) to execute
Nov 11 01:50:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:50:23.903551 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (968.966495ms) to execute
Nov 11 01:50:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:50:23.904239 W | etcdserver: request "header:<ID:14919139277666171567 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:37640989 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (882.996499ms) to execute
Nov 11 01:50:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:50:23.929697 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:2149" took too long (801.320579ms) to execute
Nov 11 01:50:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:50:23.930679 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:432" took too long (802.322245ms) to execute
Nov 11 01:50:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:50:23.960581 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (594.752221ms) to execute
Nov 11 01:50:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:50:23.960639 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (793.540079ms) to execute
Nov 11 01:50:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:50:23.960851 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (395.423357ms) to execute
Nov 11 01:50:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 01:50:23.961021 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (814.41586ms) to execute
