-- Logs begin at Tue 2019-12-17 13:42:37 UTC, end at Thu 2019-12-19 01:31:34 UTC. --
Dec 19 01:13:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:13:13.877475 N | compactor: Starting auto-compaction at revision 44847269
Dec 19 01:13:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:13:13.878575 N | compactor: Finished auto-compaction at revision 44847269
Dec 19 01:13:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:13:51.001557 W | etcdserver: request "header:<ID:14919139277707049191 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-q76jq.15e1a0b1fd50ecb2\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-q76jq.15e1a0b1fd50ecb2\" value_size:392 lease:5695767240852273231 >> failure:<>>" with result "size:20" took too long (105.51052ms) to execute
Dec 19 01:13:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:13:51.002593 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (116.092189ms) to execute
Dec 19 01:13:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:13:51.003276 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4168" took too long (115.335531ms) to execute
Dec 19 01:13:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:13:51.003907 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (115.563435ms) to execute
Dec 19 01:14:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:14:28.846335 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (185.64766ms) to execute
Dec 19 01:14:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:14:28.846718 W | etcdserver: request "header:<ID:14919139277707049689 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-egressgateway.15e1a0bacac65614\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-egressgateway.15e1a0bacac65614\" value_size:389 lease:5695767240852273231 >> failure:<>>" with result "size:20" took too long (135.449902ms) to execute
Dec 19 01:14:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:14:28.869335 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-9v29x\" " with result "range_response_count:1 size:3254" took too long (169.792112ms) to execute
Dec 19 01:14:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:14:28.869506 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-km6qk\" " with result "range_response_count:1 size:2997" took too long (182.400927ms) to execute
Dec 19 01:14:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:14:29.068951 W | etcdserver: request "header:<ID:14919139277707049705 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" mod_revision:44926134 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" value_size:2530 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" > >>" with result "size:20" took too long (119.836868ms) to execute
Dec 19 01:14:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:14:29.088259 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (138.532896ms) to execute
Dec 19 01:14:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:14:29.115338 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-km6qk\" " with result "range_response_count:1 size:3009" took too long (162.184895ms) to execute
Dec 19 01:15:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:15:13.576458 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (134.621039ms) to execute
Dec 19 01:15:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:15:40.562707 I | mvcc: store.index: compact 44925507
Dec 19 01:15:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:15:40.574157 I | mvcc: finished scheduled compaction at 44925507 (took 9.415893ms)
Dec 19 01:15:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:15:41.197662 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (606.628577ms) to execute
Dec 19 01:17:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:17:36.226781 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (423.8019ms) to execute
Dec 19 01:19:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:19:29.241549 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-g8x7m\" " with result "range_response_count:1 size:3009" took too long (159.734451ms) to execute
Dec 19 01:19:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:19:29.241730 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (157.415939ms) to execute
Dec 19 01:20:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:20:40.579489 I | mvcc: store.index: compact 44926350
Dec 19 01:20:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:20:40.587761 I | mvcc: finished scheduled compaction at 44926350 (took 6.337961ms)
Dec 19 01:25:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:25:40.621039 I | mvcc: store.index: compact 44927025
Dec 19 01:25:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:25:40.628228 I | mvcc: finished scheduled compaction at 44927025 (took 5.584363ms)
Dec 19 01:25:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:25:55.433360 I | etcdserver: start to snapshot (applied: 49526090, lastsnap: 49516089)
Dec 19 01:25:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:25:55.489152 I | etcdserver: saved snapshot at index 49526090
Dec 19 01:25:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:25:55.489629 I | etcdserver: compacted raft log at 49521090
Dec 19 01:26:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 01:26:14.048912 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002f2f1f5.snap successfully
