-- Logs begin at Thu 2019-12-19 16:58:51 UTC, end at Sat 2019-12-21 03:33:26 UTC. --
Dec 21 03:11:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:05.374361 W | wal: sync duration of 1.774144949s, expected less than 1s
Dec 21 03:11:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:05.376820 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (1.766347276s) to execute
Dec 21 03:11:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:05.376989 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.251497754s) to execute
Dec 21 03:11:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:05.377353 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (217.020219ms) to execute
Dec 21 03:11:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:05.377470 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (315.971666ms) to execute
Dec 21 03:11:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:05.377565 W | etcdserver: failed to revoke 4f0b6e20ca6d71e2 ("lease not found")
Dec 21 03:11:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:05.377718 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-l9krn\" " with result "range_response_count:1 size:3754" took too long (758.78154ms) to execute
Dec 21 03:11:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:05.377905 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (116.160822ms) to execute
Dec 21 03:11:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:05.377943 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (1.103473179s) to execute
Dec 21 03:11:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:06.273043 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-l9krn\" " with result "range_response_count:1 size:3784" took too long (627.983354ms) to execute
Dec 21 03:11:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:06.284867 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (199.460214ms) to execute
Dec 21 03:11:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:06.284914 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (231.592796ms) to execute
Dec 21 03:11:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:06.285121 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/serviceentries\" range_end:\"/registry/networking.istio.io/serviceentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (296.46033ms) to execute
Dec 21 03:11:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:11.204564 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (434.303192ms) to execute
Dec 21 03:11:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:11.204875 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-tth2t\" " with result "range_response_count:1 size:2314" took too long (411.308781ms) to execute
Dec 21 03:11:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:11.205497 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (270.073158ms) to execute
Dec 21 03:11:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:14.970166 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-l9krn\" " with result "range_response_count:1 size:4158" took too long (323.659218ms) to execute
Dec 21 03:11:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:14.970242 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (676.355012ms) to execute
Dec 21 03:11:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:14.970275 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4239" took too long (634.856274ms) to execute
Dec 21 03:11:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:14.970441 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (695.799799ms) to execute
Dec 21 03:11:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:14.970503 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (208.460609ms) to execute
Dec 21 03:11:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:16.483442 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/statsds\" range_end:\"/registry/config.istio.io/statsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (222.753504ms) to execute
Dec 21 03:11:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:16.499100 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (198.460449ms) to execute
Dec 21 03:11:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:16.499204 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (193.426044ms) to execute
Dec 21 03:11:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:23.271098 W | wal: sync duration of 1.081123175s, expected less than 1s
Dec 21 03:11:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:23.273747 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-tth2t\" " with result "range_response_count:1 size:2314" took too long (275.914207ms) to execute
Dec 21 03:11:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:23.274100 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-tth2t\" " with result "range_response_count:1 size:2314" took too long (821.904297ms) to execute
Dec 21 03:11:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:23.274356 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (862.332227ms) to execute
Dec 21 03:11:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:23.275110 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (380.190428ms) to execute
Dec 21 03:11:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:23.452642 I | mvcc: store.index: compact 45444194
Dec 21 03:11:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:23.461030 I | mvcc: finished scheduled compaction at 45444194 (took 6.241042ms)
Dec 21 03:11:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:23.675959 W | etcdserver: request "header:<ID:14919139277709079475 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:45445920 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:383 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:20" took too long (171.675883ms) to execute
Dec 21 03:11:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:23.676088 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests\" range_end:\"/registry/certificatesigningrequestt\" count_only:true " with result "range_response_count:0 size:7" took too long (129.836215ms) to execute
Dec 21 03:11:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:26.789178 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (265.872183ms) to execute
Dec 21 03:11:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:26.789253 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (268.223802ms) to execute
Dec 21 03:11:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:29.052094 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:3990" took too long (103.270706ms) to execute
Dec 21 03:11:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:36.262905 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (488.937881ms) to execute
Dec 21 03:11:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:11:36.263083 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (439.291905ms) to execute
Dec 21 03:13:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:13:28.711489 N | compactor: Starting auto-compaction at revision 45361712
Dec 21 03:13:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:13:28.711947 N | compactor: Finished auto-compaction at revision 45361712
Dec 21 03:13:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:13:38.595114 W | etcdserver: read-only range request "key:\"/registry/limitranges/istio-system/\" range_end:\"/registry/limitranges/istio-system0\" " with result "range_response_count:0 size:7" took too long (135.766266ms) to execute
Dec 21 03:13:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:13:38.845822 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (182.161895ms) to execute
Dec 21 03:13:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:13:38.845911 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-vpnb7\" " with result "range_response_count:1 size:2738" took too long (180.482643ms) to execute
Dec 21 03:13:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:13:38.881309 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (117.269042ms) to execute
Dec 21 03:13:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:13:39.060993 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (112.016778ms) to execute
Dec 21 03:13:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:13:39.061448 W | etcdserver: request "header:<ID:14919139277709080993 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-mbtvp\" mod_revision:45446255 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-mbtvp\" value_size:2981 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-mbtvp\" > >>" with result "size:20" took too long (109.152986ms) to execute
Dec 21 03:14:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:14:38.871565 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (178.667337ms) to execute
Dec 21 03:14:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:14:38.903498 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (188.448218ms) to execute
Dec 21 03:16:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:16:23.502378 I | mvcc: store.index: compact 45445925
Dec 21 03:16:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:16:23.517051 I | mvcc: finished scheduled compaction at 45445925 (took 11.295461ms)
Dec 21 03:16:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:16:25.077568 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (124.312402ms) to execute
Dec 21 03:16:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:16:25.077626 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (1.47114595s) to execute
Dec 21 03:16:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:16:25.077684 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.377727434s) to execute
Dec 21 03:16:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:16:25.077828 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-75cnb\" " with result "range_response_count:1 size:2440" took too long (1.20850896s) to execute
Dec 21 03:16:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:16:25.077931 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (1.304951362s) to execute
Dec 21 03:16:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:16:25.078302 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (803.813836ms) to execute
Dec 21 03:17:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:39.802919 W | etcdserver: request "header:<ID:14919139277709083745 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:45446843 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5025 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (376.893072ms) to execute
Dec 21 03:17:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:39.808019 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (705.054024ms) to execute
Dec 21 03:17:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:40.277778 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (852.982514ms) to execute
Dec 21 03:17:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:40.278053 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (790.967976ms) to execute
Dec 21 03:17:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:40.278109 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/tracespans\" range_end:\"/registry/config.istio.io/tracespant\" count_only:true " with result "range_response_count:0 size:7" took too long (1.077484584s) to execute
Dec 21 03:17:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:42.590440 W | wal: sync duration of 2.315492197s, expected less than 1s
Dec 21 03:17:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:43.723670 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/edges\" range_end:\"/registry/config.istio.io/edget\" count_only:true " with result "range_response_count:0 size:7" took too long (3.505263006s) to execute
Dec 21 03:17:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:43.724416 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (3.58435579s) to execute
Dec 21 03:17:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:43.724843 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (3.913734493s) to execute
Dec 21 03:17:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:43.725817 W | etcdserver: request "header:<ID:14919139277709083750 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:45446865 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:373 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (1.134938872s) to execute
Dec 21 03:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:44.330706 W | wal: sync duration of 1.740075625s, expected less than 1s
Dec 21 03:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:44.753183 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gnhhg\" " with result "range_response_count:1 size:4261" took too long (3.529019811s) to execute
Dec 21 03:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:44.753558 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (3.138293638s) to execute
Dec 21 03:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:44.753841 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5097" took too long (3.962608561s) to execute
Dec 21 03:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:44.754216 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-cleanup-secrets-service-account-token-br48g\" " with result "range_response_count:1 size:2503" took too long (2.238429716s) to execute
Dec 21 03:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:44.754526 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (4.137945405s) to execute
Dec 21 03:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:44.755140 W | etcdserver: request "header:<ID:14919139277709083754 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" mod_revision:45446741 > success:<request_put:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" value_size:1571 >> failure:<request_range:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" > >>" with result "size:20" took too long (423.805079ms) to execute
Dec 21 03:17:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:45.516613 W | wal: sync duration of 1.185702999s, expected less than 1s
Dec 21 03:17:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:45.750938 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-tth2t\" " with result "range_response_count:1 size:2314" took too long (1.800577007s) to execute
Dec 21 03:17:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:45.751099 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/metrics-server-68f94cc659-8pkpg\" " with result "range_response_count:1 size:3043" took too long (2.005461248s) to execute
Dec 21 03:17:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:45.751514 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/signalfxs\" range_end:\"/registry/config.istio.io/signalfxt\" count_only:true " with result "range_response_count:0 size:7" took too long (2.453127164s) to execute
Dec 21 03:17:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:45.751589 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (2.329733147s) to execute
Dec 21 03:17:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:45.751920 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (1.663734294s) to execute
Dec 21 03:17:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 03:17:45.752330 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (1.477091548s) to execute
