-- Logs begin at Sun 2019-12-15 09:07:23 UTC, end at Tue 2019-12-17 02:56:45 UTC. --
Dec 17 02:34:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:34:18.166002 W | etcdserver: request "header:<ID:14919139277705182478 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-7dn7f\" mod_revision:44451466 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-7dn7f\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-7dn7f\" > >>" with result "size:20" took too long (109.734336ms) to execute
Dec 17 02:34:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:34:22.720834 I | mvcc: store.index: compact 44449801
Dec 17 02:34:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:34:22.726194 I | mvcc: finished scheduled compaction at 44449801 (took 3.92031ms)
Dec 17 02:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:36:33.409284 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (119.688594ms) to execute
Dec 17 02:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:36:33.440255 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2msr6\" " with result "range_response_count:1 size:1121" took too long (135.980363ms) to execute
Dec 17 02:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:36:33.440448 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (148.706872ms) to execute
Dec 17 02:37:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:37:33.509491 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1081a3e02a7e7\" " with result "range_response_count:1 size:485" took too long (138.858339ms) to execute
Dec 17 02:37:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:37:33.512520 W | etcdserver: request "header:<ID:14919139277705184128 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-g9cqm\" mod_revision:44451906 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-g9cqm\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-g9cqm\" > >>" with result "size:20" took too long (132.053259ms) to execute
Dec 17 02:37:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:37:33.513174 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vqm2n\" " with result "range_response_count:1 size:1121" took too long (140.579763ms) to execute
Dec 17 02:37:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:37:33.513597 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (142.274271ms) to execute
Dec 17 02:37:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:37:33.513751 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (134.39417ms) to execute
Dec 17 02:37:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:37:33.514975 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qhxxt\" " with result "range_response_count:1 size:1121" took too long (134.568322ms) to execute
