-- Logs begin at Sat 2019-10-26 21:27:07 UTC, end at Fri 2019-11-01 04:11:57 UTC. --
Nov 01 03:51:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:51:25.171877 I | mvcc: store.index: compact 35319141
Nov 01 03:51:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:51:25.178369 I | mvcc: finished scheduled compaction at 35319141 (took 3.830911ms)
Nov 01 03:51:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:51:34.341823 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (150.443619ms) to execute
Nov 01 03:51:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:51:34.380688 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/redisquotas\" range_end:\"/registry/config.istio.io/redisquotat\" count_only:true " with result "range_response_count:0 size:7" took too long (116.612412ms) to execute
Nov 01 03:51:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:51:34.380773 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (188.940023ms) to execute
Nov 01 03:51:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:51:34.588974 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (146.823051ms) to execute
Nov 01 03:51:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:51:34.589014 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (146.456334ms) to execute
Nov 01 03:51:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:51:34.589026 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-85nct\" " with result "range_response_count:1 size:2738" took too long (151.358512ms) to execute
Nov 01 03:51:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:51:49.405725 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (156.018125ms) to execute
Nov 01 03:51:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:51:49.405880 W | etcdserver: request "header:<ID:14919139277656956438 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:35321525 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6101 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (141.891604ms) to execute
Nov 01 03:51:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:51:49.420607 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (118.73292ms) to execute
Nov 01 03:51:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:51:49.420682 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (168.521567ms) to execute
Nov 01 03:56:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:56:25.185145 I | mvcc: store.index: compact 35321416
Nov 01 03:56:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:56:25.198362 I | mvcc: finished scheduled compaction at 35321416 (took 8.484854ms)
Nov 01 03:56:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:56:26.925226 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/signalfxs\" range_end:\"/registry/config.istio.io/signalfxt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.649149938s) to execute
Nov 01 03:56:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:56:26.925274 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-p26qc\" " with result "range_response_count:1 size:2314" took too long (777.577901ms) to execute
Nov 01 03:56:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:56:26.925384 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.293554247s) to execute
Nov 01 03:56:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:56:26.925526 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (923.469852ms) to execute
Nov 01 03:56:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:56:26.925680 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-p26qc\" " with result "range_response_count:1 size:2314" took too long (512.227882ms) to execute
Nov 01 03:58:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:58:53.707226 I | etcdserver: start to snapshot (applied: 39004833, lastsnap: 38994832)
Nov 01 03:58:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:58:54.662084 I | etcdserver: saved snapshot at index 39004833
Nov 01 03:58:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:58:54.662381 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (338.57806ms) to execute
Nov 01 03:58:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:58:54.662483 I | etcdserver: compacted raft log at 38999833
Nov 01 03:59:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 03:59:03.128859 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000252674c.snap successfully
Nov 01 04:01:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:01:25.204079 I | mvcc: store.index: compact 35322033
Nov 01 04:01:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:01:25.211184 I | mvcc: finished scheduled compaction at 35322033 (took 5.273186ms)
Nov 01 04:01:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:01:25.416701 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests\" range_end:\"/registry/certificatesigningrequestt\" count_only:true " with result "range_response_count:0 size:7" took too long (114.331493ms) to execute
Nov 01 04:06:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:06:25.338894 I | mvcc: store.index: compact 35322567
Nov 01 04:06:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:06:25.340737 W | etcdserver: request "header:<ID:14919139277656965233 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:35322567 > " with result "size:7" took too long (110.435247ms) to execute
Nov 01 04:06:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:06:25.346251 I | mvcc: finished scheduled compaction at 35322567 (took 5.563201ms)
