-- Logs begin at Thu 2019-11-07 19:12:30 UTC, end at Sun 2019-11-10 14:24:49 UTC. --
Nov 10 14:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:43.483733 W | wal: sync duration of 1.60639308s, expected less than 1s
Nov 10 14:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:43.486891 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (1.084754091s) to execute
Nov 10 14:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:43.487053 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (634.431757ms) to execute
Nov 10 14:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:43.487299 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/attributemanifests\" range_end:\"/registry/config.istio.io/attributemanifestt\" count_only:true " with result "range_response_count:0 size:9" took too long (228.884722ms) to execute
Nov 10 14:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:43.487403 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (497.673748ms) to execute
Nov 10 14:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:43.487574 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (485.890025ms) to execute
Nov 10 14:02:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:45.311944 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (315.086241ms) to execute
Nov 10 14:02:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:45.328649 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (209.386014ms) to execute
Nov 10 14:02:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:45.945206 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (445.652296ms) to execute
Nov 10 14:02:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:45.945398 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (438.108068ms) to execute
Nov 10 14:02:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:51.508872 W | etcdserver: request "header:<ID:14919139277665717404 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:37527322 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (1.71148008s) to execute
Nov 10 14:02:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:51.509096 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (2.495285733s) to execute
Nov 10 14:02:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:52.993265 W | wal: sync duration of 3.196185062s, expected less than 1s
Nov 10 14:02:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:52.996320 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (3.024672835s) to execute
Nov 10 14:02:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:52.996391 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (3.887774443s) to execute
Nov 10 14:02:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:52.996597 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/zipkins\" range_end:\"/registry/config.istio.io/zipkint\" count_only:true " with result "range_response_count:0 size:7" took too long (3.336479519s) to execute
Nov 10 14:02:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:52.996668 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (3.978751108s) to execute
Nov 10 14:02:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:52.996817 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (3.470464066s) to execute
Nov 10 14:02:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:52.996854 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-xpch6\" " with result "range_response_count:1 size:2314" took too long (1.79777995s) to execute
Nov 10 14:02:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:52.996929 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-xpch6\" " with result "range_response_count:1 size:2314" took too long (2.342787085s) to execute
Nov 10 14:02:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:52.997075 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:294" took too long (1.484381123s) to execute
Nov 10 14:02:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:52.997306 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-xpch6\" " with result "range_response_count:1 size:2314" took too long (356.641716ms) to execute
Nov 10 14:02:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:52.997382 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-xpch6\" " with result "range_response_count:1 size:2314" took too long (598.673541ms) to execute
Nov 10 14:02:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:52.997624 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (2.535169882s) to execute
Nov 10 14:02:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 14:02:52.997778 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/circonuses\" range_end:\"/registry/config.istio.io/circonuset\" count_only:true " with result "range_response_count:0 size:7" took too long (662.622732ms) to execute
