-- Logs begin at Tue 2019-12-17 17:51:17 UTC, end at Thu 2019-12-19 05:21:21 UTC. --
Dec 19 05:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:00:44.755471 I | mvcc: store.index: compact 44962282
Dec 19 05:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:00:44.764579 I | mvcc: finished scheduled compaction at 44962282 (took 6.228578ms)
Dec 19 05:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:03:28.469264 W | etcdserver: request "header:<ID:14919139277707202236 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" mod_revision:44963686 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" value_size:2463 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" > >>" with result "size:20" took too long (148.532881ms) to execute
Dec 19 05:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:03:28.470355 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (159.413997ms) to execute
Dec 19 05:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:03:28.471022 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-v6dqr\" " with result "range_response_count:1 size:3255" took too long (135.063038ms) to execute
Dec 19 05:05:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:05:28.860384 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (164.707928ms) to execute
Dec 19 05:05:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:05:28.860477 W | etcdserver: request "header:<ID:14919139277707203583 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-egressgateway\" mod_revision:44963978 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-egressgateway\" value_size:5825 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-egressgateway\" > >>" with result "size:20" took too long (143.03098ms) to execute
Dec 19 05:05:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:05:28.860614 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" " with result "range_response_count:1 size:2624" took too long (144.71968ms) to execute
Dec 19 05:05:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:05:28.879606 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-fgk6p\" " with result "range_response_count:1 size:3010" took too long (160.773257ms) to execute
Dec 19 05:05:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:05:28.884163 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (148.508511ms) to execute
Dec 19 05:05:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:05:28.885026 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (165.193686ms) to execute
