-- Logs begin at Fri 2019-12-20 16:35:16 UTC, end at Sun 2019-12-22 03:01:58 UTC. --
Dec 22 02:41:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 02:41:40.610768 I | mvcc: store.index: compact 45690550
Dec 22 02:41:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 02:41:40.621934 I | mvcc: finished scheduled compaction at 45690550 (took 8.619956ms)
Dec 22 02:41:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 02:41:40.914984 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (198.374955ms) to execute
Dec 22 02:42:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 02:42:21.280093 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-policy-dddd467c4-cxdv5\" " with result "range_response_count:1 size:3351" took too long (179.808093ms) to execute
Dec 22 02:42:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 02:42:21.280285 W | etcdserver: request "header:<ID:14919139277710021312 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-pilot\" mod_revision:45692225 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-pilot\" value_size:5853 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-pilot\" > >>" with result "size:20" took too long (139.949177ms) to execute
Dec 22 02:42:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 02:42:21.303913 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-9qsmj\" " with result "range_response_count:1 size:3243" took too long (178.158751ms) to execute
Dec 22 02:42:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 02:42:21.518994 W | etcdserver: request "header:<ID:14919139277710021329 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" mod_revision:45692237 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" value_size:2463 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" > >>" with result "size:20" took too long (134.660573ms) to execute
Dec 22 02:45:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 02:45:35.735996 W | etcdserver: request "header:<ID:14919139277710023609 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-q6lgl\" mod_revision:45692744 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-q6lgl\" value_size:3504 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-q6lgl\" > >>" with result "size:20" took too long (134.664427ms) to execute
Dec 22 02:45:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 02:45:35.751584 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kxpmq\" " with result "range_response_count:1 size:2946" took too long (136.085162ms) to execute
Dec 22 02:46:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 02:46:40.624924 I | mvcc: store.index: compact 45692107
Dec 22 02:46:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-22 02:46:40.636712 I | mvcc: finished scheduled compaction at 45692107 (took 9.139424ms)
