-- Logs begin at Thu 2019-12-19 12:32:44 UTC, end at Sat 2019-12-21 01:02:47 UTC. --
Dec 21 00:41:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:41:21.913367 I | mvcc: store.index: compact 45417670
Dec 21 00:41:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:41:21.920633 I | mvcc: finished scheduled compaction at 45417670 (took 5.075473ms)
Dec 21 00:43:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:43:39.825259 I | etcdserver: start to snapshot (applied: 50056150, lastsnap: 50046149)
Dec 21 00:43:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:43:39.916379 I | etcdserver: saved snapshot at index 50056150
Dec 21 00:43:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:43:39.917022 I | etcdserver: compacted raft log at 50051150
Dec 21 00:43:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:43:46.853578 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002fb0881.snap successfully
Dec 21 00:45:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:45:38.060158 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (139.61472ms) to execute
Dec 21 00:45:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:45:38.060537 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (139.773983ms) to execute
Dec 21 00:45:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:45:38.060716 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (138.915344ms) to execute
Dec 21 00:45:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:45:38.061151 W | etcdserver: request "header:<ID:14919139277708982602 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-pilot-759bbfd844.15e23c50f35cfd9e\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-pilot-759bbfd844.15e23c50f35cfd9e\" value_size:376 lease:5695767240854206413 >> failure:<>>" with result "size:20" took too long (132.4803ms) to execute
Dec 21 00:45:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:45:38.061250 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-z9hsk\" " with result "range_response_count:1 size:2634" took too long (109.466866ms) to execute
Dec 21 00:46:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:46:21.925708 I | mvcc: store.index: compact 45419232
Dec 21 00:46:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:46:21.936347 I | mvcc: finished scheduled compaction at 45419232 (took 8.838053ms)
Dec 21 00:46:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:46:22.536610 W | etcdserver: request "header:<ID:14919139277708983067 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:45419869 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:3914 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (528.317948ms) to execute
Dec 21 00:46:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:46:22.563131 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5097" took too long (495.291325ms) to execute
Dec 21 00:51:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:51:21.939059 I | mvcc: store.index: compact 45419886
Dec 21 00:51:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:51:21.958002 I | mvcc: finished scheduled compaction at 45419886 (took 14.619122ms)
Dec 21 00:51:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 00:51:22.205727 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5097" took too long (134.313668ms) to execute
