-- Logs begin at Thu 2019-10-31 07:39:49 UTC, end at Sat 2019-11-02 23:52:38 UTC. --
Nov 02 23:31:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:31:54.548113 I | mvcc: store.index: compact 35761470
Nov 02 23:31:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:31:54.556439 I | mvcc: finished scheduled compaction at 35761470 (took 6.045321ms)
Nov 02 23:36:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:36:24.038405 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/prometheuses\" range_end:\"/registry/config.istio.io/prometheuset\" count_only:true " with result "range_response_count:0 size:7" took too long (117.55362ms) to execute
Nov 02 23:36:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:36:54.560127 I | mvcc: store.index: compact 35762963
Nov 02 23:36:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:36:54.570171 I | mvcc: finished scheduled compaction at 35762963 (took 8.425162ms)
Nov 02 23:36:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:36:55.249993 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-tzgx5\" " with result "range_response_count:1 size:2314" took too long (572.484072ms) to execute
Nov 02 23:36:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:36:55.250268 W | etcdserver: request "header:<ID:14919139277658686178 > lease_revoke:<id:4f0b6e20c76c8230>" with result "size:29" took too long (479.487842ms) to execute
Nov 02 23:41:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:41:54.571914 I | mvcc: store.index: compact 35763526
Nov 02 23:41:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:41:54.580637 I | mvcc: finished scheduled compaction at 35763526 (took 7.020085ms)
Nov 02 23:43:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:43:25.502135 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (305.676851ms) to execute
Nov 02 23:44:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:44:38.424061 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (424.703828ms) to execute
Nov 02 23:45:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:45:00.487827 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (516.292384ms) to execute
Nov 02 23:45:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:45:39.230984 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (135.451041ms) to execute
Nov 02 23:45:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:45:43.060484 W | wal: sync duration of 1.510197773s, expected less than 1s
Nov 02 23:45:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:45:43.065359 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/serviceroles\" range_end:\"/registry/rbac.istio.io/servicerolet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.321156881s) to execute
Nov 02 23:45:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:45:43.071480 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests\" range_end:\"/registry/certificatesigningrequestt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.227980996s) to execute
Nov 02 23:45:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:45:43.071765 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (405.177029ms) to execute
Nov 02 23:45:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:45:43.071957 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (548.348239ms) to execute
