-- Logs begin at Sat 2019-11-09 17:59:19 UTC, end at Tue 2019-11-12 00:30:30 UTC. --
Nov 12 00:10:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:10:37.553731 I | mvcc: store.index: compact 37869045
Nov 12 00:10:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:10:37.562134 I | mvcc: finished scheduled compaction at 37869045 (took 5.932982ms)
Nov 12 00:13:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:13:02.297269 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-97f2n\" " with result "range_response_count:1 size:1118" took too long (108.688144ms) to execute
Nov 12 00:13:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:13:02.297434 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (108.569203ms) to execute
Nov 12 00:13:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:13:02.297890 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (113.236707ms) to execute
Nov 12 00:13:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:13:02.298202 W | etcdserver: request "header:<ID:14919139277667080257 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-97f2n.15d641e77571ad72\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-97f2n.15d641e77571ad72\" value_size:389 lease:5695767240812304125 >> failure:<>>" with result "size:20" took too long (107.499967ms) to execute
Nov 12 00:13:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:13:02.298358 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-j9c5k\" " with result "range_response_count:1 size:1121" took too long (105.856194ms) to execute
Nov 12 00:13:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:13:32.410837 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (129.05298ms) to execute
Nov 12 00:14:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:14:32.635795 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d641fc780ce79a\" " with result "range_response_count:1 size:485" took too long (131.027765ms) to execute
Nov 12 00:14:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:14:32.636097 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.monitoring.coreos.com\" " with result "range_response_count:1 size:659" took too long (130.167677ms) to execute
Nov 12 00:14:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:14:32.636115 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.certificates.k8s.io\" " with result "range_response_count:1 size:664" took too long (130.405731ms) to execute
Nov 12 00:14:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:14:32.636211 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta2.apps\" " with result "range_response_count:1 size:619" took too long (130.573884ms) to execute
Nov 12 00:14:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:14:32.636324 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.autoscaling\" " with result "range_response_count:1 size:626" took too long (130.519587ms) to execute
Nov 12 00:14:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:14:32.636510 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (116.564331ms) to execute
Nov 12 00:14:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:14:32.645677 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (140.705618ms) to execute
Nov 12 00:15:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:15:32.676801 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (168.211231ms) to execute
Nov 12 00:15:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:15:32.677005 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-l2hj8\" " with result "range_response_count:1 size:1121" took too long (170.917816ms) to execute
Nov 12 00:15:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:15:32.677133 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (171.698041ms) to execute
Nov 12 00:15:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:15:32.677331 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dgbgp\" " with result "range_response_count:1 size:1121" took too long (157.735373ms) to execute
