-- Logs begin at Mon 2019-11-04 19:08:25 UTC, end at Thu 2019-11-07 20:59:48 UTC. --
Nov 07 20:38:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:38:53.113708 I | mvcc: store.index: compact 36865714
Nov 07 20:38:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:38:53.115206 W | etcdserver: request "header:<ID:14919139277663102960 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:36865714 > " with result "size:7" took too long (100.000611ms) to execute
Nov 07 20:38:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:38:53.120763 I | mvcc: finished scheduled compaction at 36865714 (took 5.673896ms)
Nov 07 20:39:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:39:21.237039 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (117.317663ms) to execute
Nov 07 20:39:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:39:21.237431 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (117.5878ms) to execute
Nov 07 20:39:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:39:21.424643 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (118.855014ms) to execute
Nov 07 20:39:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:39:21.424778 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (142.436139ms) to execute
Nov 07 20:39:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:39:21.678019 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (157.888432ms) to execute
Nov 07 20:39:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:39:21.709140 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (183.220711ms) to execute
Nov 07 20:39:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:39:21.709464 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (185.793233ms) to execute
Nov 07 20:39:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:39:21.889533 W | etcdserver: request "header:<ID:14919139277663103344 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-hfp7d\" mod_revision:36867521 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-hfp7d\" value_size:2981 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-hfp7d\" > >>" with result "size:20" took too long (110.29717ms) to execute
Nov 07 20:39:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:39:21.889646 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (109.445563ms) to execute
Nov 07 20:43:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:43:53.126882 I | mvcc: store.index: compact 36867433
Nov 07 20:43:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:43:53.137788 I | mvcc: finished scheduled compaction at 36867433 (took 9.712827ms)
