-- Logs begin at Mon 2019-12-16 01:01:21 UTC, end at Tue 2019-12-17 17:36:37 UTC. --
Dec 17 17:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:19:30.873538 I | mvcc: store.index: compact 44601771
Dec 17 17:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:19:30.881463 I | mvcc: finished scheduled compaction at 44601771 (took 5.963278ms)
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.436940 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (107.545121ms) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.437315 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1910" took too long (2.396274034s) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.437511 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/listcheckers\" range_end:\"/registry/config.istio.io/listcheckert\" count_only:true " with result "range_response_count:0 size:7" took too long (2.148189658s) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.437696 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:3989" took too long (2.096843361s) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.437886 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (1.694680418s) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.438060 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.626852034s) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.438280 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (1.587442528s) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.438466 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1910" took too long (1.313799851s) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.438658 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (908.242567ms) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.438822 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (571.691442ms) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.439060 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (439.040991ms) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.439632 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.certificates.k8s.io\" " with result "range_response_count:1 size:664" took too long (421.987578ms) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.439859 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:668" took too long (422.328824ms) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.440144 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.events.k8s.io\" " with result "range_response_count:1 size:646" took too long (422.281331ms) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.440410 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apps\" " with result "range_response_count:1 size:619" took too long (421.933615ms) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.440667 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha2.config.istio.io\" " with result "range_response_count:1 size:659" took too long (421.787586ms) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.440976 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (418.425582ms) to execute
Dec 17 17:23:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 17:23:21.441051 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:4620" took too long (316.644718ms) to execute
