-- Logs begin at Thu 2020-01-30 14:51:24 UTC, end at Sat 2020-02-01 10:56:38 UTC. --
Feb 01 10:33:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:33:35.856682 W | etcdserver: request "header:<ID:14919139277751198083 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:53169390 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:383 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:20" took too long (108.75271ms) to execute
Feb 01 10:34:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:34:01.153214 W | etcdserver: request "header:<ID:14919139277751198477 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-pilot\" mod_revision:53169541 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-pilot\" value_size:5867 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-pilot\" > >>" with result "size:20" took too long (119.198968ms) to execute
Feb 01 10:34:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:34:01.153630 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stackdrivers\" range_end:\"/registry/config.istio.io/stackdrivert\" count_only:true " with result "range_response_count:0 size:7" took too long (106.591676ms) to execute
Feb 01 10:34:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:34:01.153882 W | etcdserver: read-only range request "key:\"/registry/limitranges/istio-system/\" range_end:\"/registry/limitranges/istio-system0\" " with result "range_response_count:0 size:7" took too long (121.876234ms) to execute
Feb 01 10:34:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:34:01.406634 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" " with result "range_response_count:1 size:2549" took too long (168.442321ms) to execute
Feb 01 10:34:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:34:17.506671 I | mvcc: store.index: compact 53167103
Feb 01 10:34:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:34:17.512476 I | mvcc: finished scheduled compaction at 53167103 (took 4.579455ms)
Feb 01 10:36:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:36:01.155554 W | etcdserver: read-only range request "key:\"/registry/limitranges/istio-system/\" range_end:\"/registry/limitranges/istio-system0\" " with result "range_response_count:0 size:7" took too long (138.894296ms) to execute
Feb 01 10:36:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:36:01.155777 W | etcdserver: request "header:<ID:14919139277751199788 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:53169802 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4164 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (106.506005ms) to execute
Feb 01 10:36:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:36:01.155903 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (138.034752ms) to execute
Feb 01 10:36:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:36:01.417191 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (182.511435ms) to execute
Feb 01 10:36:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:36:01.417583 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (188.387744ms) to execute
Feb 01 10:36:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:36:01.448183 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-kdjjc\" " with result "range_response_count:1 size:2738" took too long (192.672492ms) to execute
Feb 01 10:36:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:36:16.189654 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (163.049203ms) to execute
Feb 01 10:36:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:36:16.189805 W | etcdserver: request "header:<ID:14919139277751200030 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-75jwj.15ef40ebdf116705\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-75jwj.15ef40ebdf116705\" value_size:444 lease:5695767240896423966 >> failure:<>>" with result "size:20" took too long (137.882903ms) to execute
Feb 01 10:36:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:36:16.204764 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-75jwj\" " with result "range_response_count:1 size:2738" took too long (124.181994ms) to execute
Feb 01 10:36:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:36:16.205143 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (176.523386ms) to execute
Feb 01 10:39:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:39:17.518040 I | mvcc: store.index: compact 53169629
Feb 01 10:39:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:39:17.533873 I | mvcc: finished scheduled compaction at 53169629 (took 13.773349ms)
Feb 01 10:39:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:39:19.304519 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.402965673s) to execute
Feb 01 10:39:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:39:19.304747 W | etcdserver: request "header:<ID:14919139277751201902 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:53170244 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4105 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (1.383106939s) to execute
Feb 01 10:39:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:39:19.332157 W | wal: sync duration of 1.410919136s, expected less than 1s
Feb 01 10:39:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:39:19.332575 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/gateways\" range_end:\"/registry/networking.istio.io/gatewayt\" count_only:true " with result "range_response_count:0 size:9" took too long (824.600091ms) to execute
Feb 01 10:39:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:39:19.332623 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-m84vg\" " with result "range_response_count:1 size:2314" took too long (227.512892ms) to execute
Feb 01 10:39:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:39:19.332899 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (760.504085ms) to execute
Feb 01 10:39:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:39:19.333197 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (389.447663ms) to execute
